#,Time,Time,Nome,Gols,Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore
182,Shakhtar Donetsk,,Dodô,1,0,7,2,50,6.53,6.53
183,Valencia,,Carlos Soler,1,1,2,6,16.67,6.52,6.52
184,Tottenham Hotspur,,Ryan Sessegnon,1,0,1,3,33.33,6.43,6.43
185,Red Bull Salzburg,,Dominik Szoboszlai,1,1,2,12,8.33,6.40,6.40
186,Barcelona,,Neto,0,0,0,0,0,8.00,8.00
187,Barcelona,,Jean-Clair Todibo,0,0,2,1,0,7.70,7.70
188,FC Bayern München,,Thiago Alcântara,0,2,13,7,0,7.60,7.60
189,Juventus,,Merih Demiral,0,0,1,0,0,7.60,7.60
190,Real Madrid,,Marcelo,0,0,3,8,0,7.50,7.50
191,AFC Ajax,,André Onana,0,0,0,0,0,7.47,7.47
192,Juventus,,Alex Sandro,0,0,9,6,0,7.45,7.45
193,Zenit St. Petersburg,,Andrey Lunev,0,0,0,0,0,7.45,7.45
194,Juventus,,Gianluigi Buffon,0,0,0,0,0,7.40,7.40
195,FC Bayern München,,Alphonso Davies,0,0,26,8,0,7.35,7.35
196,SK Slavia Praha,,Ondřej Kolář,0,0,1,0,0,7.35,7.35
197,Liverpool,,Trent Alexander-Arnold,0,0,3,6,0,7.33,7.33
198,Zenit St. Petersburg,,Mikhail Kerzhakov,0,0,0,0,0,7.33,7.33
199,Valencia,,Gabriel Paulista,0,0,1,4,0,7.32,7.32
200,Barcelona,,Carles Aleñá,0,0,3,0,0,7.30,7.30
201,Lokomotiv Moscow,,Guilherme Marinato,0,0,0,0,0,7.30,7.30
202,Galatasaray,,Fernando Muslera,0,0,0,0,0,7.28,7.28
203,Tottenham Hotspur,,Paulo Gazzaniga,0,0,0,0,0,7.28,7.28
204,RB Leipzig,,Dayot Upamecano,0,0,15,8,0,7.28,7.28
205,Paris Saint-Germain,,Keylor Navas,0,0,1,0,0,7.26,7.26
206,Chelsea,,Fikayo Tomori,0,0,4,4,0,7.25,7.25
207,Paris Saint-Germain,,Thiago Silva,0,0,0,3,0,7.24,7.24
208,Real Madrid,,Éder Militão,0,0,4,1,0,7.23,7.23
209,Barcelona,,Arthur,0,0,7,2,0,7.23,7.23
210,Atlético Madrid,,Kieran Trippier,0,1,3,2,0,7.22,7.22
211,Tottenham Hotspur,,Tanguy Ndombélé,0,0,17,4,0,7.20,7.20
212,Club Brugge KV,,Matej Mitrović,0,0,0,1,0,7.20,7.20
213,Paris Saint-Germain,,Tanguy Nianzou,0,0,0,0,0,7.20,7.20
214,Bayer 04 Leverkusen,,Wendell,0,0,4,4,0,7.20,7.20
215,Napoli,,Kalidou Koulibaly,0,0,4,7,0,7.20,7.20
216,Paris Saint-Germain,,Marco Verratti,0,0,8,1,0,7.18,7.18
217,Benfica,,Adel Taarabt,0,1,11,8,0,7.18,7.18
218,Benfica,,Alejandro Grimaldo,0,0,6,9,0,7.17,7.17
219,Valencia,,José Luis Gayà,0,1,5,7,0,7.17,7.17
220,Red Bull Salzburg,,Maximilian Wöber,0,0,5,5,0,7.17,7.17
221,Juventus,,Miralem Pjanić,0,0,1,9,0,7.16,7.16
222,Napoli,,José Callejón,0,3,0,8,0,7.16,7.16
223,Atlético Madrid,,Santiago Arias,0,0,0,1,0,7.15,7.15
224,KRC Genk,,Carlos Cuesta,0,0,1,0,0,7.15,7.15
225,Liverpool,,Virgil van Dijk,0,0,1,9,0,7.14,7.14
226,Inter,,Stefano Sensi,0,0,6,5,0,7.13,7.13
227,Shakhtar Donetsk,,Taison,0,0,14,9,0,7.12,7.12
228,Paris Saint-Germain,,Presnel Kimpembe,0,0,7,0,0,7.12,7.12
229,Red Bull Salzburg,,Zlatko Junuzović,0,0,2,1,0,7.12,7.12
230,FC Bayern München,,Benjamin Pavard,0,0,1,7,0,7.11,7.11
231,Atlético Madrid,,Renan Lodi,0,0,7,7,0,7.11,7.11
232,AFC Ajax,,Dušan Tadić,0,1,7,6,0,7.10,7.10
233,Lille,,Benjamin André,0,0,3,10,0,7.10,7.10
234,Olympiacos FC,,Konstantinos Tsimikas,0,0,14,2,0,7.10,7.10
235,Juventus,,Daniele Rugani,0,0,0,0,0,7.10,7.10
236,Liverpool,,Alisson,0,0,0,0,0,7.10,7.10
237,Zenit St. Petersburg,,Sebastián Driussi,0,0,4,11,0,7.10,7.10
238,Juventus,,Danilo,0,0,1,2,0,7.10,7.10
239,Juventus,,Leonardo Bonucci,0,2,3,2,0,7.10,7.10
240,Manchester City,,Rodri,0,1,12,8,0,7.09,7.09
241,SK Slavia Praha,,Nicolae Stanciu,0,0,5,21,0,7.08,7.08
242,FC Bayern München,,Manuel Neuer,0,0,1,0,0,7.08,7.08
243,RB Leipzig,,Angeliño,0,0,5,4,0,7.08,7.08
244,Inter,,Diego Godín,0,0,3,1,0,7.08,7.08
245,Olympique Lyonnais,,Marçal,0,0,4,4,0,7.07,7.07
246,KRC Genk,,Bryan Heynen,0,0,0,4,0,7.07,7.07
247,Real Madrid,,Eden Hazard,0,1,14,12,0,7.07,7.07
248,Inter,,Marcelo Brozović,0,0,7,5,0,7.07,7.07
249,Napoli,,Nikola Maksimović,0,0,0,3,0,7.07,7.07
250,Juventus,,Matthijs de Ligt,0,0,0,2,0,7.07,7.07
251,Napoli,,Alex Meret,0,0,0,0,0,7.07,7.07
252,RB Leipzig,,Péter Gulácsi,0,0,0,0,0,7.06,7.06
253,Inter,,Borja Valero,0,0,2,2,0,7.05,7.05
254,FC Bayern München,,David Alaba,0,0,2,5,0,7.05,7.05
255,Tottenham Hotspur,,Davinson Sánchez,0,1,2,1,0,7.04,7.04
256,Paris Saint-Germain,,Thilo Kehrer,0,0,1,1,0,7.04,7.04
257,Borussia Dortmund,,Roman Bürki,0,0,1,0,0,7.04,7.04
258,Paris Saint-Germain,,Leandro Paredes,0,0,2,2,0,7.03,7.03
259,Bayer 04 Leverkusen,,Nadiem Amiri,0,0,6,7,0,7.03,7.03
260,Barcelona,,Gerard Piqué,0,0,2,3,0,7.01,7.01
261,FC Bayern München,,Lucas Hernández,0,0,4,0,0,7.00,7.00
262,Inter,,Stefan de Vrij,0,1,1,1,0,7.00,7.00
263,Tottenham Hotspur,,Steven Bergwijn,0,0,1,3,0,7.00,7.00
264,Atalanta,,Simon Kjær,0,0,0,1,0,7.00,7.00
