#,Clube,Nome,Gols,Gols esperados (xG),Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore,Categoria,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Defesas,Jogos sem ser vazado,Pênalti defendido,Defesas de dentro da área,Saídas do gol
531,FC Bayern München,Sven Ulreich,0.0,0.0,0.0,0.0,0.0,0.0,6.67,6.67,Ataque,,,,,,,,,,,,,,
532,Royal Antwerp FC,Mandela Keita,0.0,0.0,0.0,4.0,0.0,0.0,6.67,6.67,Ataque,,,,,,,,,,,,,,
533,Sevilla,Mariano Díaz,0.0,0.21,0.0,0.0,3.0,0.0,6.67,6.67,Ataque,,,,,,,,,,,,,,
534,Benfica,David Neres,0.0,0.15,0.0,2.0,4.0,0.0,6.67,6.67,Ataque,,,,,,,,,,,,,,
535,Galatasaray,Tanguy Ndombélé,0.0,0.06,0.0,2.0,1.0,0.0,6.67,6.67,Ataque,,,,,,,,,,,,,,
536,Lazio,Nicolò Rovella,0.0,0.03,0.0,0.0,2.0,0.0,6.67,6.67,Ataque,,,,,,,,,,,,,,
537,Inter,Denzel Dumfries,0.0,0.9,2.0,4.0,7.0,0.0,6.66,6.66,Ataque,,,,,,,,,,,,,,
538,Benfica,Orkun Kökçü,0.0,0.18,0.0,4.0,3.0,0.0,6.66,6.66,Ataque,,,,,,,,,,,,,,
539,Lazio,Valentín Castellanos,0.0,1.37,1.0,0.0,7.0,0.0,6.66,6.66,Ataque,,,,,,,,,,,,,,
540,Benfica,Casper Tengstedt,0.0,0.14,0.0,0.0,2.0,0.0,6.65,6.65,Ataque,,,,,,,,,,,,,,
541,Manchester United,Jonny Evans,0.0,0.0,0.0,0.0,0.0,0.0,6.65,6.65,Ataque,,,,,,,,,,,,,,
542,Celtic,Nathaniel Phillips,0.0,0.0,0.0,0.0,0.0,0.0,6.65,6.65,Ataque,,,,,,,,,,,,,,
543,RC Lens,Ruben Aguilar,0.0,0.0,0.0,0.0,0.0,0.0,6.65,6.65,Ataque,,,,,,,,,,,,,,
544,Barcelona,Iñigo Martínez,0.0,0.0,0.0,0.0,0.0,0.0,6.65,6.65,Ataque,,,,,,,,,,,,,,
545,RB Leipzig,Lukas Klostermann,0.0,0.0,0.0,0.0,0.0,0.0,6.65,6.65,Ataque,,,,,,,,,,,,,,
546,FK Crvena zvezda,Kosta Nedeljković,0.0,0.18,0.0,6.0,3.0,0.0,6.65,6.65,Ataque,,,,,,,,,,,,,,
547,Sevilla,Suso,0.0,0.08,0.0,1.0,2.0,0.0,6.65,6.65,Ataque,,,,,,,,,,,,,,
548,Real Sociedad,Jon Pacheco,0.0,0.07,0.0,0.0,1.0,0.0,6.65,6.65,Ataque,,,,,,,,,,,,,,
549,Royal Antwerp FC,Soumaila Coulibaly,0.0,0.06,0.0,1.0,1.0,0.0,6.65,6.65,Ataque,,,,,,,,,,,,,,
550,Paris Saint-Germain,Gonçalo Ramos,0.0,1.73,2.0,0.0,9.0,0.0,6.64,6.64,Ataque,,,,,,,,,,,,,,
551,Sporting Braga,Josafat Mendes,0.0,0.0,0.0,1.0,0.0,0.0,6.64,6.64,Ataque,,,,,,,,,,,,,,
552,Milan,Yunus Musah,0.0,0.23,0.0,5.0,2.0,0.0,6.64,6.64,Ataque,,,,,,,,,,,,,,
553,Red Bull Salzburg,Oumar Solet,0.0,0.0,0.0,0.0,0.0,0.0,6.63,6.63,Ataque,,,,,,,,,,,,,,
554,Sporting Braga,André Horta,0.0,0.0,0.0,0.0,0.0,0.0,6.63,6.63,Ataque,,,,,,,,,,,,,,
555,RB Leipzig,Timo Werner,0.0,0.12,0.0,0.0,1.0,0.0,6.63,6.63,Ataque,,,,,,,,,,,,,,
556,Manchester United,Diogo Dalot,0.0,0.11,0.0,7.0,2.0,0.0,6.63,6.63,Ataque,,,,,,,,,,,,,,
557,FC København,Andreas Cornelius,0.0,0.09,1.0,0.0,1.0,0.0,6.63,6.63,Ataque,,,,,,,,,,,,,,
558,FC Porto,Jorge Sánchez,0.0,0.08,0.0,2.0,2.0,0.0,6.63,6.63,Ataque,,,,,,,,,,,,,,
559,FK Crvena zvezda,Milan Rodić,0.0,0.07,0.0,2.0,3.0,0.0,6.63,6.63,Ataque,,,,,,,,,,,,,,
560,1. FC Union Berlin,Robin Knoche,0.0,0.03,0.0,0.0,1.0,0.0,6.63,6.63,Ataque,,,,,,,,,,,,,,
561,PSV Eindhoven,Mauro Júnior,0.0,0.02,0.0,3.0,1.0,0.0,6.63,6.63,Ataque,,,,,,,,,,,,,,
562,Sevilla,Djibril Sow,0.0,0.01,0.0,0.0,1.0,0.0,6.63,6.63,Ataque,,,,,,,,,,,,,,
563,RC Lens,Massadio Haïdara,0.0,0.0,0.0,0.0,0.0,0.0,6.63,6.63,Ataque,,,,,,,,,,,,,,
564,Red Bull Salzburg,Nene Dorgeles,0.0,1.1,2.0,0.0,5.0,0.0,6.63,6.63,Ataque,,,,,,,,,,,,,,
565,Sporting Braga,José Fonte,0.0,0.27,0.0,2.0,3.0,0.0,6.63,6.63,Ataque,,,,,,,,,,,,,,
566,Celtic,Cameron Carter-Vickers,0.0,0.12,0.0,1.0,2.0,0.0,6.63,6.63,Ataque,,,,,,,,,,,,,,
567,RB Leipzig,Nicolas Seiwald,0.0,0.03,0.0,1.0,1.0,0.0,6.63,6.63,Ataque,,,,,,,,,,,,,,
568,RB Leipzig,Christoph Baumgartner,0.0,0.83,3.0,1.0,6.0,0.0,6.62,6.62,Ataque,,,,,,,,,,,,,,
569,Celtic,Alistair Johnston,0.0,0.06,0.0,4.0,1.0,0.0,6.62,6.62,Ataque,,,,,,,,,,,,,,
570,Celtic,Paulo Bernardo,0.0,0.03,0.0,8.0,1.0,0.0,6.62,6.62,Ataque,,,,,,,,,,,,,,
571,Barcelona,Oriol Romeu,0.0,0.14,0.0,2.0,1.0,0.0,6.61,6.61,Ataque,,,,,,,,,,,,,,
572,FC København,Orri Steinn Óskarsson,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
573,Sevilla,Juanlu Sánchez,0.0,0.0,0.0,4.0,0.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
574,FK Crvena zvezda,Jean-Philippe Krasso,0.0,0.47,1.0,2.0,3.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
575,Galatasaray,Barış Alper Yılmaz,0.0,0.07,0.0,0.0,1.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
576,Shakhtar Donetsk,Oleksiy Kashchuk,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
577,Milan,Chaka Traorè,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
578,Young Boys,Łukasz Łakomy,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
579,Borussia Dortmund,Giovanni Reyna,0.0,0.0,0.0,1.0,0.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
580,Atlético Madrid,Çağlar Söyüncü,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
581,Napoli,Hamed Junior Traorè,0.0,0.0,0.0,1.0,0.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
582,Lazio,Nicolò Casale,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
583,FC Porto,Gonçalo Borges,0.0,0.0,0.0,1.0,0.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
584,Sevilla,Erik Lamela,0.0,0.26,0.0,0.0,1.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
585,Sporting Braga,Pizzi,0.0,0.15,0.0,1.0,2.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
586,Napoli,Jesper Lindstrøm,0.0,0.13,1.0,2.0,1.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
587,Young Boys,Aurèle Amenda,0.0,0.07,1.0,1.0,2.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
588,1. FC Union Berlin,Rani Khedira,0.0,0.05,0.0,0.0,2.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
589,Young Boys,Miguel Changa Chaiwa,0.0,0.04,0.0,0.0,1.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
590,Benfica,Chiquinho,0.0,0.04,0.0,0.0,1.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
591,Manchester United,Sergio Reguilón,0.0,0.04,0.0,3.0,2.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
592,Napoli,Gianluca Gaetano,0.0,0.03,0.0,0.0,1.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
593,Arsenal,Mohamed Elneny,0.0,0.02,0.0,0.0,1.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
594,Real Sociedad,Umar Sadiq,0.0,0.01,0.0,4.0,1.0,0.0,6.6,6.6,Ataque,,,,,,,,,,,,,,
595,Young Boys,Silvère Ganvoula,0.0,0.79,2.0,2.0,7.0,0.0,6.58,6.58,Ataque,,,,,,,,,,,,,,
596,Napoli,Juan Jesus,0.0,0.0,0.0,0.0,0.0,0.0,6.58,6.58,Ataque,,,,,,,,,,,,,,
597,Royal Antwerp FC,Jean Butez,0.0,0.0,0.0,0.0,0.0,0.0,6.58,6.58,Ataque,,,,,,,,,,,,,,
598,Red Bull Salzburg,Karim Konaté,0.0,1.84,2.0,4.0,11.0,0.0,6.58,6.58,Ataque,,,,,,,,,,,,,,
599,Celtic,Yang Hyun-Jun,0.0,0.0,0.0,4.0,0.0,0.0,6.58,6.58,Ataque,,,,,,,,,,,,,,
600,Red Bull Salzburg,Forson Amankwah,0.0,0.16,0.0,0.0,3.0,0.0,6.58,6.58,Ataque,,,,,,,,,,,,,,
601,Real Sociedad,Álvaro Odriozola,0.0,0.0,0.0,0.0,0.0,0.0,6.57,6.57,Ataque,,,,,,,,,,,,,,
602,1. FC Union Berlin,Danilho Doekhi,0.0,0.0,0.0,0.0,0.0,0.0,6.57,6.57,Ataque,,,,,,,,,,,,,,
603,Celtic,Tomoki Iwata,0.0,0.0,0.0,0.0,0.0,0.0,6.57,6.57,Ataque,,,,,,,,,,,,,,
604,RC Lens,Nampalys Mendy,0.0,0.0,0.0,0.0,0.0,0.0,6.57,6.57,Ataque,,,,,,,,,,,,,,
605,Feyenoord,Luka Ivanušec,0.0,0.08,0.0,2.0,3.0,0.0,6.56,6.56,Ataque,,,,,,,,,,,,,,
606,Napoli,Jens Cajuste,0.0,0.0,0.0,1.0,0.0,0.0,6.56,6.56,Ataque,,,,,,,,,,,,,,
607,Newcastle United,Elliot Anderson,0.0,0.0,0.0,2.0,0.0,0.0,6.55,6.55,Ataque,,,,,,,,,,,,,,
608,Paris Saint-Germain,Nordi Mukiele,0.0,0.0,0.0,0.0,0.0,0.0,6.55,6.55,Ataque,,,,,,,,,,,,,,
609,Borussia Dortmund,Youssoufa Moukoko,0.0,0.0,0.0,1.0,0.0,0.0,6.55,6.55,Ataque,,,,,,,,,,,,,,
610,Shakhtar Donetsk,Valeriy Bondar,0.0,0.0,0.0,0.0,0.0,0.0,6.55,6.55,Ataque,,,,,,,,,,,,,,
611,FK Crvena zvezda,Jovan Mijatović,0.0,0.9,1.0,2.0,4.0,0.0,6.55,6.55,Ataque,,,,,,,,,,,,,,
612,Manchester United,Mason Mount,0.0,0.47,0.0,0.0,4.0,0.0,6.55,6.55,Ataque,,,,,,,,,,,,,,
613,PSV Eindhoven,Patrick van Aanholt,0.0,0.16,1.0,0.0,2.0,0.0,6.55,6.55,Ataque,,,,,,,,,,,,,,
614,Lazio,Luca Pellegrini,0.0,0.04,0.0,2.0,2.0,0.0,6.55,6.55,Ataque,,,,,,,,,,,,,,
615,Benfica,Tiago Gouveia,0.0,0.02,0.0,1.0,1.0,0.0,6.55,6.55,Ataque,,,,,,,,,,,,,,
616,Lazio,Elseid Hysaj,0.0,0.0,0.0,1.0,0.0,0.0,6.54,6.54,Ataque,,,,,,,,,,,,,,
617,PSV Eindhoven,Guus Til,0.0,0.22,1.0,1.0,4.0,0.0,6.54,6.54,Ataque,,,,,,,,,,,,,,
618,1. FC Union Berlin,Janik Haberer,0.0,0.19,1.0,2.0,4.0,0.0,6.54,6.54,Ataque,,,,,,,,,,,,,,
619,Celtic,Hyun-gyu Oh,0.0,0.15,0.0,2.0,3.0,0.0,6.54,6.54,Ataque,,,,,,,,,,,,,,
620,FC Porto,Marko Grujić,0.0,0.0,0.0,0.0,0.0,0.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
621,RC Lens,David Pereira da Costa,0.0,0.0,0.0,2.0,0.0,0.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
622,FC Porto,Fábio Cardoso,0.0,0.0,0.0,0.0,0.0,0.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
623,FC København,Christian Sørensen,0.0,0.0,0.0,0.0,0.0,0.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
624,FK Crvena zvezda,Nasser Djiga,0.0,0.19,0.0,4.0,2.0,0.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
625,Feyenoord,Ondrej Lingr,0.0,0.07,0.0,1.0,1.0,0.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
626,Barcelona,Marcos Alonso,0.0,0.04,0.0,0.0,1.0,0.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
627,Shakhtar Donetsk,Giorgi Gocholeishvili,0.0,0.2,1.0,4.0,2.0,0.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
628,Shakhtar Donetsk,Newerton Palmares,0.0,0.66,2.0,6.0,7.0,0.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
629,RC Lens,Morgan Guilavogui,0.0,0.57,1.0,0.0,3.0,0.0,6.53,6.53,Ataque,,,,,,,,,,,,,,
630,Arsenal,Thomas Partey,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
631,FK Crvena zvezda,Kings Kangwa,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
632,Inter,Emil Audero,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
633,FC Porto,Fran Navarro,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
634,FK Crvena zvezda,Miloš Degenek,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
635,FK Crvena zvezda,Uroš Kabić,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
636,Red Bull Salzburg,Dijon Kameri,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
637,FC Porto,Toni Martínez,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
638,Sevilla,Joan Jordán,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
639,Sevilla,Kike Salas,0.0,0.0,0.0,1.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
640,Sevilla,Óliver Torres,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
641,Royal Antwerp FC,Zeno Van Den Bosch,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
642,Manchester United,Victor Lindelöf,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
643,Sporting Braga,Serdar Saatçı,0.0,0.29,0.0,1.0,2.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
644,Celtic,James Forrest,0.0,0.14,0.0,0.0,1.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
645,Real Sociedad,Jon Magunazelaia,0.0,0.12,0.0,0.0,1.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
646,Real Sociedad,Jon Ander Olasagasti,0.0,0.11,0.0,0.0,1.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
647,FK Crvena zvezda,Srđan Mijailović,0.0,0.1,0.0,2.0,3.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
648,PSV Eindhoven,Armel Bella-Kotchap,0.0,0.04,0.0,0.0,1.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
649,Sporting Braga,Roger Fernandes,0.0,0.02,0.0,1.0,1.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
650,Celtic,Greg Taylor,0.0,0.02,0.0,3.0,1.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
651,Feyenoord,Leo Sauer,0.0,0.02,0.0,1.0,1.0,0.0,6.5,6.5,Ataque,,,,,,,,,,,,,,
652,Royal Antwerp FC,Jelle Bataille,0.0,0.0,0.0,3.0,0.0,0.0,6.48,6.48,Ataque,,,,,,,,,,,,,,
653,Shakhtar Donetsk,Dmytro Kryskiv,0.0,0.08,0.0,3.0,4.0,0.0,6.48,6.48,Ataque,,,,,,,,,,,,,,
654,Sevilla,Adrià Pedrosa,0.0,0.08,0.0,2.0,1.0,0.0,6.48,6.48,Ataque,,,,,,,,,,,,,,
655,Paris Saint-Germain,Manuel Ugarte,0.0,0.07,0.0,1.0,4.0,0.0,6.48,6.48,Ataque,,,,,,,,,,,,,,
656,Benfica,David Jurásek,0.0,0.0,0.0,1.0,0.0,0.0,6.47,6.47,Ataque,,,,,,,,,,,,,,
657,FK Crvena zvezda,Stefan Mitrović,0.0,0.13,0.0,3.0,5.0,0.0,6.47,6.47,Ataque,,,,,,,,,,,,,,
658,Benfica,Gonçalo Guedes,0.0,0.0,0.0,1.0,0.0,0.0,6.45,6.45,Ataque,,,,,,,,,,,,,,
659,FC Porto,Danny Namaso,0.0,0.0,0.0,0.0,0.0,0.0,6.45,6.45,Ataque,,,,,,,,,,,,,,
660,1. FC Union Berlin,Brenden Aaronson,0.0,0.48,1.0,1.0,3.0,0.0,6.45,6.45,Ataque,,,,,,,,,,,,,,
661,Real Sociedad,Carlos Fernández,0.0,0.13,1.0,0.0,1.0,0.0,6.45,6.45,Ataque,,,,,,,,,,,,,,
662,RC Lens,Neil El Aynaoui,0.0,0.0,0.0,1.0,0.0,0.0,6.43,6.43,Ataque,,,,,,,,,,,,,,
663,Royal Antwerp FC,Anthony Valencia,0.0,0.0,0.0,0.0,0.0,0.0,6.43,6.43,Ataque,,,,,,,,,,,,,,
664,Newcastle United,Sandro Tonali,0.0,0.1,0.0,0.0,2.0,0.0,6.43,6.43,Ataque,,,,,,,,,,,,,,
665,Shakhtar Donetsk,Novatus Miroshi,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
666,Arsenal,Cédric Soares,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
667,Feyenoord,Thomas Beelen,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
668,Young Boys,David von Ballmoos,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
669,Paris Saint-Germain,Carlos Soler,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
670,Galatasaray,Kerem Demirbay,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
671,Shakhtar Donetsk,Marian Shved,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
672,Royal Antwerp FC,Kobe Corbanie,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
673,Sporting Braga,Diogo Fonseca,0.0,0.35,1.0,0.0,1.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
674,Sevilla,Rafa Mir,0.0,0.09,0.0,0.0,1.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
675,Newcastle United,Joe Willock,0.0,0.05,0.0,0.0,2.0,0.0,6.4,6.4,Ataque,,,,,,,,,,,,,,
676,RB Leipzig,Fabio Carvalho,0.0,0.11,0.0,1.0,4.0,0.0,6.37,6.37,Ataque,,,,,,,,,,,,,,
677,Real Sociedad,Mohamed-Ali Cho,0.0,0.04,0.0,0.0,1.0,0.0,6.37,6.37,Ataque,,,,,,,,,,,,,,
678,Sporting Braga,Adrián Marín,0.0,0.0,0.0,0.0,0.0,0.0,6.35,6.35,Ataque,,,,,,,,,,,,,,
679,Newcastle United,Callum Wilson,0.0,0.81,3.0,0.0,6.0,0.0,6.35,6.35,Ataque,,,,,,,,,,,,,,
680,Young Boys,Saidy Janko,0.0,0.0,0.0,8.0,0.0,0.0,6.34,6.34,Ataque,,,,,,,,,,,,,,
681,Young Boys,Noah Persson,0.0,0.0,0.0,0.0,0.0,0.0,6.33,6.33,Ataque,,,,,,,,,,,,,,
682,Royal Antwerp FC,Owen Wijndal,0.0,0.01,0.0,0.0,1.0,0.0,6.32,6.32,Ataque,,,,,,,,,,,,,,
683,Sevilla,Marcos Acuña,0.0,0.15,0.0,1.0,2.0,0.0,6.3,6.3,Ataque,,,,,,,,,,,,,,
684,Manchester United,Lisandro Martínez,0.0,0.0,0.0,2.0,0.0,0.0,6.3,6.3,Ataque,,,,,,,,,,,,,,
685,Atlético Madrid,Reinildo Mandava,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.3,Ataque,,,,,,,,,,,,,,
686,Galatasaray,Kâzımcan Karataş,0.0,0.0,0.0,1.0,0.0,0.0,6.3,6.3,Ataque,,,,,,,,,,,,,,
687,1. FC Union Berlin,Aljoscha Kemlein,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.3,Ataque,,,,,,,,,,,,,,
688,Celtic,Mitchel Frame,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.3,Ataque,,,,,,,,,,,,,,
689,Celtic,David Turnbull,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.3,Ataque,,,,,,,,,,,,,,
690,Feyenoord,Bart Nieuwkoop,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.3,Ataque,,,,,,,,,,,,,,
691,FC København,William Clem,0.0,0.05,0.0,0.0,1.0,0.0,6.3,6.3,Ataque,,,,,,,,,,,,,,
692,Sevilla,Tanguy Nianzou,0.0,0.01,0.0,0.0,1.0,0.0,6.3,6.3,Ataque,,,,,,,,,,,,,,
693,Royal Antwerp FC,Gyrano Kerk,0.0,0.22,1.0,3.0,3.0,0.0,6.28,6.28,Ataque,,,,,,,,,,,,,,
694,FC København,Valdemar Lund,0.0,0.0,0.0,0.0,0.0,0.0,6.25,6.25,Ataque,,,,,,,,,,,,,,
695,FC København,Jordan Larsson,0.0,1.04,2.0,0.0,4.0,0.0,6.25,6.25,Ataque,,,,,,,,,,,,,,
696,Young Boys,Sandro Lauper,0.0,0.14,0.0,1.0,4.0,0.0,6.25,6.25,Ataque,,,,,,,,,,,,,,
697,Barcelona,Hector Fort,0.0,0.0,0.0,0.0,0.0,0.0,6.2,6.2,Ataque,,,,,,,,,,,,,,
698,Newcastle United,Lewis Hall,0.0,0.0,0.0,0.0,0.0,0.0,6.2,6.2,Ataque,,,,,,,,,,,,,,
699,Newcastle United,Martin Dúbravka,0.0,0.0,0.0,0.0,0.0,0.0,6.2,6.2,Ataque,,,,,,,,,,,,,,
700,Manchester City,Mahamadou Susoho,0.0,0.0,0.0,0.0,0.0,0.0,6.2,6.2,Ataque,,,,,,,,,,,,,,
701,Inter,Davy Klaassen,0.0,0.0,0.0,0.0,0.0,0.0,6.2,6.2,Ataque,,,,,,,,,,,,,,
702,Napoli,Alessandro Zanoli,0.0,0.03,0.0,1.0,1.0,0.0,6.2,6.2,Ataque,,,,,,,,,,,,,,
703,Milan,Pierre Kalulu,0.0,0.0,0.0,1.0,0.0,0.0,6.1,6.1,Ataque,,,,,,,,,,,,,,
704,Feyenoord,Marcos López,0.0,0.0,0.0,0.0,0.0,0.0,6.1,6.1,Ataque,,,,,,,,,,,,,,
705,Benfica,Florentino Luís,0.0,0.0,0.0,0.0,0.0,0.0,6.1,6.1,Ataque,,,,,,,,,,,,,,
706,Royal Antwerp FC,Jürgen Ekkelenkamp,0.0,0.15,0.0,1.0,1.0,0.0,6.1,6.1,Ataque,,,,,,,,,,,,,,
707,Celtic,Daizen Maeda,0.0,0.42,0.0,8.0,5.0,0.0,6.08,6.08,Ataque,,,,,,,,,,,,,,
708,FC Porto,Romário Baró,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,Ataque,,,,,,,,,,,,,,
709,FK Crvena zvezda,Uroš Spajić,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,Ataque,,,,,,,,,,,,,,
710,Shakhtar Donetsk,Stav Lemkin,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,Ataque,,,,,,,,,,,,,,
711,RC Lens,Abdukodir Khusanov,0.0,0.0,0.0,0.0,0.0,0.0,5.9,5.9,Ataque,,,,,,,,,,,,,,
712,Galatasaray,Victor Nelsson,0.0,0.01,0.0,0.0,1.0,0.0,5.87,5.87,Ataque,,,,,,,,,,,,,,
713,Benfica,António Silva,0.0,0.0,0.0,2.0,0.0,0.0,5.8,5.8,Ataque,,,,,,,,,,,,,,
714,PSV Eindhoven,Isaac Babadi,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.5,Ataque,,,,,,,,,,,,,,
715,Celtic,Odin Thiago Holm,0.0,0.0,0.0,2.0,0.0,0.0,5.5,5.5,Ataque,,,,,,,,,,,,,,
716,Real Sociedad,Jon Aramburu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ataque,,,,,,,,,,,,,,
717,Newcastle United,Harvey Barnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ataque,,,,,,,,,,,,,,
718,Milan,Simon Kjær,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ataque,,,,,,,,,,,,,,
719,Napoli,Cyril Ngonge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ataque,,,,,,,,,,,,,,
720,Manchester City,Jacob Wright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ataque,,,,,,,,,,,,,,
721,Milan,Davide Bartesaghi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ataque,,,,,,,,,,,,,,
722,Atlético Madrid,Ilias Kostis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ataque,,,,,,,,,,,,,,
723,PSV Eindhoven,Fredrik Oppegård,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ataque,,,,,,,,,,,,,,
724,Sporting Braga,Rony Lopes,0.0,0.11,0.0,0.0,2.0,0.0,0.0,0.0,Ataque,,,,,,,,,,,,,,
1,Borussia Dortmund,Mats Hummels,,,,,,,7.35,7.35,Defesa,53.0,25.0,66.0,1.0,,,,,,,,,,
2,Barcelona,João Cancelo,,,,,,,7.6,7.6,Defesa,32.0,19.0,11.0,0.0,,,,,,,,,,
3,FC Bayern München,Konrad Laimer,,,,,,,6.8,6.8,Defesa,32.0,8.0,12.0,0.0,,,,,,,,,,
4,Borussia Dortmund,Julian Ryerson,,,,,,,6.83,6.83,Defesa,27.0,4.0,14.0,0.0,,,,,,,,,,
