#,Time,Time,Nome,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Notas Sofascore,Nota Sofascore
295,Real Madrid,,Isco,0,0,178,89,3,7.00,7.00
296,Benfica,,Raúl de Tomás,0,0,27,96.43,1,7.00,7.00
297,Tottenham Hotspur,,Steven Bergwijn,0,0,17,77.27,1,7.00,7.00
298,Atalanta,,Simon Kjær,0,0,24,68.57,0,7.00,7.00
299,Barcelona,,Moussa Wagué,0,0,56,84.85,1,7.00,7.00
300,Barcelona,,Samuel Umtiti,0,0,222,93.28,1,7.00,7.00
301,Barcelona,,Marc-André ter Stegen,0,0,193,81.43,0,6.99,6.99
302,FC Bayern München,,Niklas Süle,0,0,238,90.84,0,6.98,6.98
303,Juventus,,Adrien Rabiot,0,0,180,86.96,9,6.98,6.98
304,Paris Saint-Germain,,Idrissa Gueye,0,1,378,90.87,3,6.97,6.97
305,Atalanta,,José Luis Palomino,0,0,219,77.11,1,6.97,6.97
306,Manchester City,,Nicolás Otamendi,0,0,406,92.69,0,6.97,6.97
307,Olympiacos FC,,Giorgos Masouras,0,1,108,87.1,8,6.97,6.97
308,RB Leipzig,,Ethan Ampadu,0,0,182,91.46,0,6.97,6.97
309,Borussia Dortmund,,Thomas Delaney,0,0,149,84.66,1,6.97,6.97
310,Inter,,Milan Škriniar,0,0,279,85.58,2,6.97,6.97
311,Olympique Lyonnais,,Bertrand Traoré,0,0,82,78.85,4,6.96,6.96
312,Bayer 04 Leverkusen,,Jonathan Tah,0,0,345,91.03,2,6.96,6.96
313,Olympique Lyonnais,,Youssouf Koné,0,0,210,87.87,2,6.96,6.96
314,FC Bayern München,,Álvaro Odriozola,0,1,50,96.15,1,6.95,6.95
315,Chelsea,,N'Golo Kanté,0,0,175,89.74,4,6.95,6.95
316,Benfica,,Odysseas Vlachodimos,0,0,119,78.29,0,6.95,6.95
317,Napoli,,Konstantinos Manolas,0,0,245,90.41,0,6.95,6.95
318,FK Crvena zvezda,,Milan Borjan,0,0,96,53.33,0,6.95,6.95
319,Atlético Madrid,,Jan Oblak,0,0,106,51.96,0,6.94,6.94
320,Olympique Lyonnais,,Marcelo,0,0,309,82.18,1,6.94,6.94
