#,Time,Time,Nome,Gols,Dribles certos,Desarmes,Assistências,Passes certos %,Notas Sofascore
386,Shakhtar Donetsk,,Artem Bondarenko,0,0,2,0,90.63,
387,FC Porto,,Evanilson,0,3,2,0,82.61,
388,Atlético Madrid,,Héctor Herrera,0,3,6,0,80.16,
389,AFC Ajax,,Remko Pasveer,0,0,1,0,84,
390,Sheriff Tiraspol,,Fernando Costanza,0,3,19,0,63.31,
391,Paris Saint-Germain,,Nuno Mendes,0,12,16,0,85.38,
392,Inter,,Alessandro Bastoni,0,2,7,0,89.2,
393,Manchester United,,David De Gea,0,0,0,0,68.63,
394,AFC Ajax,,David Neres,1,4,2,0,84.16,
395,Dynamo Kyiv,,Tomasz Kędziora,0,0,8,0,79.1,
396,Beşiktaş,,Salih Uçan,0,4,9,0,83.64,
397,Borussia Dortmund,,Marius Wolf,0,2,3,0,72.06,
398,Sporting,,Zouhair Feddal,0,4,7,0,83.83,
399,Atlético Madrid,,Thomas Lemar,0,9,6,0,77.64,
400,Sheriff Tiraspol,,Jasurbek Yakhshiboev,1,1,1,0,65.71,
401,Barcelona,,Ousmane Dembélé,0,3,0,0,74.51,
402,Real Madrid,,Marcelo,0,0,2,0,86.89,
403,Club Brugge KV,,Brandon Mechele,0,0,5,0,83.33,
404,Barcelona,,Marc-André ter Stegen,0,0,0,0,84.02,
405,Atalanta,,Marten de Roon,0,1,16,0,80.41,
406,Sheriff Tiraspol,,Edmund Addo,0,4,19,0,86.11,
407,Juventus,,Matthijs de Ligt,0,4,7,0,86.53,
408,Lille,,Benjamin André,0,3,18,0,78.51,
409,Sporting,,Daniel Bragança,0,6,9,0,93.55,
410,Milan,,Brahim Díaz,1,12,3,1,79.66,
411,Atalanta,,Mario Pašalić,1,1,2,1,75.71,
412,Milan,,Ismaël Bennacer,0,10,15,0,82.23,
413,Sheriff Tiraspol,,Danilo Arboleda,0,1,3,0,86.23,
414,Sporting,,Matheus Reis,0,8,9,0,81.55,
