#,Time,Time,Nome,Gols,Gols esperados (xG),Dribles certos,Desarmes,Assistências,Passes certos %,Notas Sofascore
334,RB Leipzig,,Janis Blaswich,0,,0,0,1,87.05,
335,Young Boys,,Loris Benito,0,0.27,0,6,0,88.07,
336,Feyenoord,,Santiago Giménez,2,2.29,4,0,1,70.21,
337,Sporting Braga,,Victor Gómez,0,,1,10,0,86.24,
338,FC Porto,,André Franco,0,0.75,1,5,0,86.73,
339,Real Madrid,,Nacho Fernández,0,0.42,2,10,0,94.7,
340,Feyenoord,,Gernot Trauner,0,0.24,0,5,0,94.39,
341,Red Bull Salzburg,,Nicolás Capaldo,0,0.15,2,9,0,71.88,
342,Napoli,,Frank Anguissa,1,1.02,6,11,1,88.68,
343,FC Porto,,Francisco Conceição,1,0.92,5,2,1,86.57,
344,Napoli,,Victor Osimhen,2,2.35,5,0,0,74.67,
345,Manchester United,,André Onana,0,,0,0,0,69.95,
346,Galatasaray,,Fernando Muslera,0,,0,2,0,78.87,
347,Feyenoord,,Lutsharel Geertruida,0,0.39,8,14,0,92.79,
348,Napoli,,Mathías Olivera,0,0.26,0,13,0,85.96,
349,Arsenal,,Emile Smith Rowe,0,0.16,0,1,0,87.18,
350,Barcelona,,Alejandro Balde,0,0.1,10,6,0,89.2,
351,Lazio,,Pedro,2,0.98,5,2,0,91.95,
352,PSV Eindhoven,,Walter Benítez,0,,0,0,0,73.66,
353,Benfica,,Morato,0,0.25,1,15,0,80.22,
354,Borussia Dortmund,,Karim Adeyemi,2,1.77,13,7,1,76.92,
355,Real Madrid,,Brahim Díaz,2,1.53,12,8,1,85.07,
356,Inter,,Lautaro Martínez,2,4.67,4,5,0,75.7,
357,Barcelona,,Fermín López,2,2.16,4,10,0,84.33,
358,Galatasaray,,Wilfried Zaha,1,0.78,10,9,1,77.17,
359,Young Boys,,Cédric Itten,1,1.27,0,2,0,63.83,
360,Milan,,Christian Pulišić,1,1.09,6,6,0,83.45,
361,Lazio,,Matías Vecino,1,0.6,1,9,0,86.94,
362,FC Porto,,Otávio,0,,1,4,1,70.59,
363,Young Boys,,Jean-Pierre Nsame,0,0.45,0,3,1,59.52,
364,Milan,,Davide Calabria,0,0.21,2,18,1,79.68,
365,Sevilla,,Jesús Navas,0,,0,8,0,73.86,
366,Borussia Dortmund,,Niklas Süle,0,,2,12,0,82.73,
367,Newcastle United,,Anthony Gordon,0,0.59,4,10,0,79.28,
368,Inter,,Juan Cuadrado,0,0.02,2,0,0,89.74,
369,PSV Eindhoven,,Ismael Saibari,1,1.8,9,4,0,77.36,
370,Manchester United,,Scott McTominay,1,1.38,3,2,1,89.92,
371,PSV Eindhoven,,Ricardo Pepi,1,0.79,0,1,1,81.08,
372,Young Boys,,Mohamed Camara,0,,5,8,1,80.66,
373,Galatasaray,,Sérgio Oliveira,0,0.12,4,4,1,75.28,
374,Red Bull Salzburg,,Lucas Gourna-Douath,0,0.02,6,10,0,86.05,
375,FC Bayern München,,Serge Gnabry,2,0.5,0,4,0,78.69,
376,Manchester United,,Aaron Wan-Bissaka,0,,2,7,1,90.91,
377,FC København,,Nicolai Boilesen,0,,0,1,0,86.67,
378,Paris Saint-Germain,,Marco Asensio,0,0.43,2,2,0,86.21,
379,Napoli,,Mário Rui,0,0.02,0,3,0,86.03,
