#,Time,Time,Nome,Gols,Gols esperados (xG),Dribles certos,Desarmes,Assistências,Passes certos %,Notas Sofascore
40,Sporting,,Arthur Gomes,2,0.27,2,2,0,81.58,
41,Napoli,,Victor Osimhen,5,4.93,5,5,0,68.75,
42,Barcelona,,Ousmane Dembélé,1,1.07,12,11,2,79.61,
43,Real Madrid,,Thibaut Courtois,0,0,0,1,0,74.92,
44,Napoli,,Leo Østigård,1,0.11,0,3,0,88.78,
45,FC Bayern München,,Sven Ulreich,0,0,0,0,0,86.27,
46,Benfica,,Alejandro Grimaldo,2,1.18,10,25,4,85.18,
47,Milan,,Malick Thiaw,0,0.77,1,10,0,85.29,
48,Atlético Madrid,,Geoffrey Kondogbia,0,0.3,1,8,0,88.29,
49,Manchester City,,Ederson,0,0,1,0,0,82.72,
50,FC Bayern München,,Kingsley Coman,1,0.96,17,11,1,83.67,
51,Juventus,,Adrien Rabiot,2,0.59,4,16,0,86.9,
52,Liverpool,,Thiago Alcântara,0,0.17,2,15,0,89.04,
53,FC Bayern München,,Yann Sommer,0,0,0,0,0,83.7,
54,Manchester City,,Nathan Aké,0,0.16,2,12,0,93.66,
55,AFC Ajax,,Steven Berghuis,2,1.06,1,13,2,79.67,
56,Shakhtar Donetsk,,Anatoliy Trubin,0,0,0,0,0,74.79,
57,Real Madrid,,Rodrygo,5,4.69,14,7,2,88.32,
58,Inter,,Alessandro Bastoni,0,0.21,2,20,3,84.51,
59,Barcelona,,Jordi Alba,0,0,0,0,1,91.25,
60,Borussia Dortmund,,Mats Hummels,0,0.04,0,8,0,85.2,
61,GNK Dinamo Zagreb,,Dino Perić,0,0,1,8,0,85.48,
62,Manchester City,,Jack Grealish,0,1.01,26,8,1,87.76,
63,Atlético Madrid,,Antoine Griezmann,1,2.53,4,7,1,82.88,
64,Benfica,,João Mário,6,4.65,14,12,2,88.37,
65,Borussia Dortmund,,Jude Bellingham,4,1.34,11,15,1,83.23,
66,FC Bayern München,,Eric Maxim Choupo-Moting,4,2.58,5,7,0,77.32,
67,AFC Ajax,,Mohammed Kudus,4,1.77,11,4,2,85.71,
68,Liverpool,,Trent Alexander-Arnold,1,0.33,5,19,0,80.64,
69,Milan,,Mike Maignan,0,0,0,0,0,81.06,
70,Benfica,,Alexander Bah,0,0.07,8,14,2,81.69,
71,Napoli,,Min-jae Kim,0,0.04,2,12,0,87.89,
72,Manchester City,,Riyad Mahrez,3,3.48,12,9,2,88.89,
73,Shakhtar Donetsk,,Marian Shved,2,0.44,3,6,0,72.34,
74,Sevilla,,Fernando,0,0,0,0,0,95.83,
75,Borussia Dortmund,,Felix Passlack,0,0,1,3,0,82.76,
76,Chelsea,,Enzo Fernández,0,0.77,5,27,1,88.61,
77,Barcelona,,Ferran Torres,3,1.26,4,2,1,85.53,
78,Barcelona,,Raphinha,0,0.49,1,8,2,80.95,
79,FC Bayern München,,Leon Goretzka,2,1.85,1,16,4,88.31,
80,Chelsea,,Reece James,1,0.55,16,14,1,86.87,
81,FC Bayern München,,Matthijs de Ligt,0,0.07,0,5,0,93.01,
82,Manchester City,,Bernardo Silva,3,1.11,26,19,1,90.07,
83,FC Bayern München,,Sadio Mané,3,1.92,12,10,1,80.1,
84,Borussia Dortmund,,Raphaël Guerreiro,2,0.71,3,7,1,81.42,
85,Liverpool,,Luis Díaz,1,0.49,4,4,0,81.05,
86,FC Porto,,Iván Marcano,0,0.1,0,2,0,88.89,
87,Chelsea,,Thiago Silva,0,0.69,1,8,0,89.58,
88,Real Madrid,,Karim Benzema,4,5.13,7,2,1,85.62,
89,Barcelona,,Marcos Alonso,1,1.01,2,5,0,91.21,
90,Napoli,,Tanguy Ndombélé,1,0.88,11,8,1,87.12,
91,Napoli,,Frank Anguissa,1,0.82,14,14,3,85.75,
92,Olympique de Marseille,,Alexis Sánchez,2,2.83,1,7,0,83.59,
93,Bayer 04 Leverkusen,,Robert Andrich,1,0.34,0,10,0,85.37,
94,Manchester City,,Phil Foden,1,0.97,7,5,1,85.65,
95,FC Bayern München,,Benjamin Pavard,2,1.06,1,12,0,91.09,
96,Red Bull Salzburg,,Nicolas Seiwald,1,0.41,1,19,0,77.41,
97,Barcelona,,Sergi Roberto,0,0.14,0,5,2,92.49,
98,Benfica,,Nicolás Otamendi,0,0.27,0,17,1,89.55,
99,RB Leipzig,,Mohamed Simakan,1,0.37,6,16,3,75.26,
100,Tottenham Hotspur,,Pierre-Emile Højbjerg,1,0.33,7,12,2,89.45,
101,FC Porto,,Otávio,0,0.65,11,17,2,77.73,
102,Manchester City,,Manuel Akanji,1,0.94,1,27,0,92.14,
103,Tottenham Hotspur,,Heung-min Son,2,1.55,7,10,0,78.4,
104,Eintracht Frankfurt,,Kevin Trapp,0,0,0,0,0,58.55,
105,Napoli,,Alex Meret,0,0,0,0,0,86.52,
106,Chelsea,,Ben Chilwell,0,0.22,6,12,0,81.59,
107,Real Madrid,,Vinícius Júnior,7,6.52,47,10,5,80.54,
108,FC Porto,,Stephen Eustaquio,2,1.39,3,14,0,75.56,
109,Inter,,Hakan Çalhanoğlu,1,0.44,4,16,2,89.97,
110,Liverpool,,Joël Matip,1,0.4,1,8,0,88.57,
111,Viktoria Plzeň,,Jan Kliment,1,0.11,0,0,0,87.5,
112,Olympique de Marseille,,Jordan Veretout,0,0.12,1,16,1,90.79,
113,FC Porto,,Fábio Cardoso,0,0.18,1,7,0,88.68,
114,Juventus,,Daniele Rugani,0,0.15,0,2,0,88.89,
115,Liverpool,,Cody Gakpo,0,0.09,2,6,0,85,
116,Tottenham Hotspur,,Fraser Forster,0,0,0,0,0,79.49,
117,Sevilla,,Marcão,0,0,0,7,0,85.98,
118,Tottenham Hotspur,,Hugo Lloris,0,0,0,0,0,83.56,
119,Chelsea,,Kepa Arrizabalaga,0,0,0,0,0,67.57,
120,FC Bayern München,,João Cancelo,0,0.3,7,14,4,87.91,
121,FC Porto,,Wenderson Galeno,2,2.77,10,3,1,72.08,
122,Chelsea,,Kalidou Koulibaly,0,0.47,1,12,0,88.83,
123,Manchester City,,İlkay Gündoğan,1,1.61,11,12,2,89.92,
124,Milan,,Sandro Tonali,0,0.63,6,19,2,78.6,
125,Liverpool,,Jordan Henderson,0,0,2,7,1,88.46,
126,Napoli,,Giovanni Simeone,4,2.88,1,3,0,74.6,
127,Napoli,,Amir Rrahmani,0,0.22,1,9,0,89.37,
128,Manchester City,,Julián Álvarez,3,2.37,3,5,2,83.93,
129,Real Madrid,,Luka Modrić,2,1.3,10,4,1,89.93,
130,Borussia Dortmund,,Julian Brandt,1,0.85,10,7,1,85.27,
131,Tottenham Hotspur,,Rodrigo Bentancur,1,0.39,6,12,0,87.29,
132,FC Bayern München,,Alphonso Davies,0,0.49,23,22,2,89.55,
133,Olympique de Marseille,,Valentin Rongier,0,0.4,4,15,0,90.22,
134,RB Leipzig,,André Silva,3,2.14,6,6,1,79.75,
135,Tottenham Hotspur,,Clément Lenglet,1,0.18,1,15,0,85.42,
136,Benfica,,Chiquinho,0,0.39,7,11,1,90.88,
137,Inter,,Edin Džeko,4,3.22,11,4,1,65.2,
138,Maccabi Haifa,,Omer Atzili,2,0.69,3,7,1,71,
139,Manchester City,,John Stones,1,0.1,10,2,1,90.64,
140,Manchester City,,Rico Lewis,1,0.28,2,1,0,91.3,
141,Juventus,,Juan Cuadrado,0,0.14,6,12,1,89.43,
142,Celtic,,Matt O'Riley,0,0.94,3,18,0,83.91,
143,Milan,,Simon Kjær,0,0.26,0,6,0,86.18,
144,Juventus,,Mattia Perin,0,0,0,0,0,79.55,
145,Inter,,Federico Dimarco,0,1.35,4,9,5,75.6,
146,Napoli,,Khvicha Kvaratskhelia,2,5.78,35,12,4,76.72,
147,RB Leipzig,,Christopher Nkunku,3,1.62,8,6,1,92.92,
148,Paris Saint-Germain,,Marco Verratti,0,0.08,11,27,1,92.98,
149,Club Brugge KV,,Andreas Skov Olsen,1,0.13,3,4,1,75.32,
150,Atlético Madrid,,Rodrigo de Paul,1,0.22,3,4,0,84.04,
151,Bayer 04 Leverkusen,,Moussa Diaby,2,1.73,6,4,0,79.89,
152,Borussia Dortmund,,Marco Reus,1,0.85,3,4,1,83.16,
153,Milan,,Matteo Gabbia,1,0.37,0,3,0,89.52,
154,Atlético Madrid,,Axel Witsel,0,0.06,1,6,1,93.59,
155,Barcelona,,Andreas Christensen,0,0.05,1,4,0,94.74,
156,Milan,,Rafael Leão,1,1.58,39,3,3,75,
157,Eintracht Frankfurt,,Daichi Kamada,3,3.01,6,17,0,82.67,
158,Juventus,,Leandro Paredes,0,0.12,1,10,1,92.07,
159,FC Porto,,Marko Grujić,0,0.5,2,5,0,87.32,
160,Maccabi Haifa,,Daniel Sundgren,0,0.02,1,12,0,84.07,
161,Olympique de Marseille,,Chancel Mbemba,2,0.44,1,14,1,84.47,
162,Chelsea,,Kai Havertz,2,2.62,12,6,0,79.22,
163,Bayer 04 Leverkusen,,Edmond Tapsoba,0,0.07,0,6,0,91.34,
164,Sporting,,Marcus Edwards,2,0.72,10,3,2,77.57,
165,Maccabi Haifa,,Tjaronn Chery,2,1.61,4,2,1,84.03,
166,Olympique de Marseille,,Mattéo Guendouzi,2,1.23,0,4,0,88.57,
167,Borussia Dortmund,,Niklas Süle,0,0.15,2,5,0,89.98,
168,Benfica,,Rafa Silva,5,4.28,21,11,1,83.93,
169,Benfica,,Gonçalo Ramos,3,3.86,5,11,1,69.34,
170,Benfica,,António Silva,2,0.67,2,11,0,91.94,
171,Inter,,Lautaro Martínez,3,2.91,10,16,3,71.11,
172,Liverpool,,Roberto Firmino,2,0.74,7,8,1,81,
173,Tottenham Hotspur,,Richarlison,2,1.16,3,3,0,71.3,
174,Sevilla,,Tanguy Nianzou,1,0.14,2,2,0,90.53,
175,Chelsea,,Trevoh Chalobah,0,0.62,1,8,0,90.51,
176,Paris Saint-Germain,,Sergio Ramos,0,0.3,3,9,0,93.67,
177,FC København,,William Clem,0,0.17,0,5,0,89.19,
178,GNK Dinamo Zagreb,,Josip Mišić,0,0.13,2,11,0,90.71,
179,Sporting,,Luís Neto,0,0.09,0,1,0,94.44,
180,FC København,,Zeca,0,0.05,3,4,0,92.86,
181,Manchester City,,Stefan Ortega,0,0,0,0,0,95.65,
182,Atlético Madrid,,Jan Oblak,0,0,0,0,0,63.33,
183,RB Leipzig,,Janis Blaswich,0,0,0,0,0,82.28,
184,Milan,,Olivier Giroud,5,5.72,0,7,2,64.98,
185,FC Bayern München,,Serge Gnabry,2,1.25,4,8,3,83.23,
186,Club Brugge KV,,Ferran Jutglà,2,1.78,8,2,2,72.31,
187,Tottenham Hotspur,,Harry Kane,1,3.6,8,1,2,66.24,
188,Inter,,Nicolò Barella,3,1.37,8,23,0,81.94,
189,Olympique de Marseille,,Leonardo Balerdi,1,0.24,0,11,0,88.22,
190,FC København,,Viktor Claesson,0,0.47,4,9,1,79.89,
191,Red Bull Salzburg,,Maurits Kjaergaard,0,0.63,3,21,0,68.46,
192,GNK Dinamo Zagreb,,Dominik Livaković,0,0,0,0,0,64.6,
193,Club Brugge KV,,Noa Lang,0,0.85,19,7,0,77.5,
194,Red Bull Salzburg,,Oumar Solet,0,0.07,2,5,0,86.36,
195,Real Madrid,,Nacho Fernández,0,0.02,1,9,0,90.43,
196,FC Bayern München,,Dayot Upamecano,0,0,4,14,0,91.01,
197,RB Leipzig,,Joško Gvardiol,2,0.76,3,9,0,89.01,
198,Napoli,,Matteo Politano,1,1.27,4,9,1,75.48,
199,Sporting,,Nuno Santos,1,0.32,3,7,0,85.96,
200,Napoli,,Mário Rui,0,0.37,3,6,1,82.24,
201,FC Bayern München,,Marcel Sabitzer,0,0.58,1,10,0,86.49,
202,Milan,,Davide Calabria,0,0.18,2,17,0,81.92,
203,RB Leipzig,,Dani Olmo,0,0.11,1,4,0,55.17,
204,Bayer 04 Leverkusen,,Charles Aránguiz,0,0.06,0,4,0,94.74,
205,Liverpool,,Ibrahima Konaté,0,0.03,1,6,0,76.64,
206,Inter,,Romelu Lukaku,3,2.7,5,3,1,75,
207,Benfica,,Petar Musa,2,0.5,2,0,0,66.67,
208,Sporting,,Paulinho,1,0.25,1,3,2,75.31,
209,Manchester City,,Kyle Walker,0,0.03,4,9,0,83.33,
210,Inter,,Francesco Acerbi,0,0.45,1,10,0,87.79,
211,Real Madrid,,Éder Militão,1,0.48,3,10,0,86.96,
212,Real Madrid,,Daniel Carvajal,0,0.17,0,18,1,88.11,
213,Chelsea,,Pierre-Emerick Aubameyang,2,2.29,0,0,2,80.41,
214,Sevilla,,Isco,1,0.66,7,6,1,86.53,
215,Eintracht Frankfurt,,Faride Alidou,1,0.27,2,4,0,87.1,
216,Chelsea,,Mateo Kovačić,1,0.26,8,11,0,87.85,
217,Chelsea,,Denis Zakaria,1,0.13,0,1,0,95.45,
218,Liverpool,,Diogo Jota,0,0.84,2,3,4,79.35,
219,Shakhtar Donetsk,,Georgiy Sudakov,0,0.07,6,9,2,88.46,
220,Sevilla,,Ivan Rakitić,0,0.23,1,9,1,85.77,
221,Bayer 04 Leverkusen,,Mitchel Bakker,0,0.41,5,9,0,82.01,
222,Inter,,Milan Škriniar,0,0.14,0,9,0,92.12,
223,Sevilla,,Kike Salas,0,0.04,1,5,0,81.58,
224,Red Bull Salzburg,,Philipp Köhn,0,0,0,1,0,63.64,
225,Club Brugge KV,,Brandon Mechele,0,0,0,11,0,87.01,
226,Real Madrid,,Marco Asensio,3,0.94,1,1,1,90.96,
227,Napoli,,Hirving Lozano,1,1.31,11,10,1,79.1,
228,Chelsea,,Mason Mount,0,0.8,5,13,1,84.77,
229,Inter,,Henrikh Mkhitaryan,2,1.74,6,26,0,81.72,
230,Liverpool,,Harvey Elliott,2,1.11,5,8,0,80.95,
231,Tottenham Hotspur,,Emerson Royal,0,0.5,2,18,0,78.08,
232,GNK Dinamo Zagreb,,Mislav Oršić,2,1.08,2,5,0,75.82,
233,Shakhtar Donetsk,,Valeriy Bondar,0,0.18,1,7,0,92.15,
234,Milan,,Theo Hernández,0,0.5,7,27,2,84.65,
235,Liverpool,,Darwin Núñez,4,5,3,3,0,69.77,
236,Paris Saint-Germain,,Carlos Soler,1,0.25,2,4,0,89.71,
237,Borussia Dortmund,,Nico Schlotterbeck,0,0.04,5,10,0,86.89,
238,Barcelona,,Pedri,0,0.94,9,7,0,89.01,
239,FC Bayern München,,Noussair Mazraoui,0,0.23,6,13,0,84.27,
240,Napoli,,Stanislav Lobotka,0,0.1,6,21,0,92.21,
241,Olympique de Marseille,,Eric Bailly,0,0,1,6,0,86.93,
242,Borussia Dortmund,,Alexander Meyer,0,0,0,0,0,82.22,
243,Red Bull Salzburg,,Strahinja Pavlović,0,0.28,3,17,0,70.18,
244,Celtic,,Sead Hakšabanović,0,0.15,3,5,0,79.55,
245,Paris Saint-Germain,,Danilo Pereira,0,0.04,4,10,0,94.14,
246,Club Brugge KV,,Kamal Sowah,2,2.06,7,12,0,78.3,
247,Benfica,,Florentino Luís,0,0.36,3,26,0,88.93,
248,Milan,,Pierre Kalulu,0,0.04,2,15,0,88.16,
249,Red Bull Salzburg,,Maximilian Wöber,0,0.05,0,9,1,45.95,
250,AFC Ajax,,Owen Wijndal,0,0,0,1,1,88.89,
251,Atlético Madrid,,José María Giménez,0,0.51,0,6,0,88.11,
252,RB Leipzig,,Amadou Haidara,0,0.35,2,12,0,91.05,
253,Chelsea,,Marc Cucurella,0,0.33,1,12,0,86.64,
254,FC København,,Denis Vavro,0,0.19,1,3,0,84.08,
255,Borussia Dortmund,,Emre Can,0,0.15,5,16,0,85.03,
256,Bayer 04 Leverkusen,,Jonathan Tah,0,0.07,0,8,0,91.09,
257,Barcelona,,Gavi,0,0.06,3,7,0,86.34,
258,GNK Dinamo Zagreb,,Kévin Théophile-Catherine,0,0.03,0,2,0,77.5,
259,Real Madrid,,Jesús Vallejo,0,0,0,2,0,94.12,
260,Shakhtar Donetsk,,Mykola Matviyenko,0,0,1,10,0,88.71,
261,Real Madrid,,Antonio Rüdiger,1,0.27,0,10,0,91.52,
262,Club Brugge KV,,Bjorn Meijer,1,0.36,2,9,1,71.95,
263,FC Porto,,Mateus Uribe,1,1.36,5,10,0,82.8,
264,AFC Ajax,,Edson Álvarez,1,0.86,1,15,0,85.71,
265,Bayer 04 Leverkusen,,Callum Hudson-Odoi,1,0.83,9,2,0,84.85,
266,GNK Dinamo Zagreb,,Josip Šutalo,0,0.13,3,12,0,86.78,
267,Juventus,,Manuel Locatelli,0,0.47,1,9,0,89.89,
268,Manchester City,,Sergio Gómez,0,0.24,5,4,0,91.73,
269,Bayer 04 Leverkusen,,Odilon Kossounou,0,0.09,3,10,0,82.65,
270,FC Bayern München,,Thomas Müller,1,1.33,0,4,0,81.25,
271,Eintracht Frankfurt,,Djibril Sow,0,0.07,0,14,0,84.51,
272,Barcelona,,Frenkie de Jong,0,0,4,4,0,88.76,
273,Paris Saint-Germain,,Gianluigi Donnarumma,0,0,0,0,0,79.7,
274,Milan,,Ismaël Bennacer,1,0.49,13,26,0,85.67,
275,Real Madrid,,Aurélien Tchouaméni,0,0.4,3,10,0,93.07,
276,Benfica,,David Neres,3,1.89,11,11,1,78.97,
277,Barcelona,,Franck Kessié,1,0.27,1,6,0,88.76,
278,Sevilla,,Gonzalo Montiel,1,0.15,1,5,0,82.79,
279,Inter,,Marcelo Brozović,0,0.17,5,18,0,90.84,
280,FC Porto,,Zaidu Sanusi,1,0.28,2,13,0,76.6,
281,Sporting,,Francisco Trincão,2,0.53,5,5,0,79.82,
282,Inter,,Denzel Dumfries,1,1.72,8,9,0,72.14,
283,FC København,,Hakon Arnar Haraldsson,1,0.98,4,5,0,82.29,
284,Benfica,,Fredrik Aursnes,1,0.51,4,13,0,82.34,
285,Liverpool,,Virgil van Dijk,0,1.03,1,4,0,86.9,
286,Tottenham Hotspur,,Matt Doherty,0,0.14,0,1,0,84.85,
287,Atlético Madrid,,Thomas Lemar,0,0.05,1,1,0,85.96,
288,FC Porto,,Pepe,0,0.04,0,7,0,82.09,
289,Juventus,,Nicolò Fagioli,0,0,1,2,0,95.65,
290,Napoli,,Alessandro Zanoli,0,0,1,2,0,100,
291,Eintracht Frankfurt,,Makoto Hasebe,0,0,0,2,0,81.7,
292,Inter,,Robin Gosens,1,0.34,1,20,0,82.81,
293,RB Leipzig,,Xaver Schlager,0,0.06,5,11,0,88.76,
294,Juventus,,Arkadiusz Milik,2,0.43,1,2,0,77.11,
295,Chelsea,,Wesley Fofana,1,0.32,2,15,0,89.47,
296,AFC Ajax,,Steven Bergwijn,2,1.78,5,3,0,90.45,
297,AFC Ajax,,Francisco Conceição,1,0.55,0,0,0,91.67,
298,Borussia Dortmund,,Giovanni Reyna,0,0.17,5,3,2,80.92,
299,AFC Ajax,,Calvin Bassey,0,0,5,14,2,88.99,
300,Atlético Madrid,,Reinildo Mandava,0,0.29,3,11,0,89.71,
301,FC København,,Victor Kristiansen,0,0.16,1,15,0,78.54,
302,Tottenham Hotspur,,Bryan Gil,0,0.02,1,0,0,76.47,
303,Club Brugge KV,,Dedryck Boyata,0,0,0,1,0,83.54,
304,Sporting,,Manuel Ugarte,0,0,10,29,0,85.04,
305,Bayer 04 Leverkusen,,Lukáš Hrádecký,0,0,0,0,0,77.01,
306,Tottenham Hotspur,,Eric Dier,0,1.1,0,7,0,90.43,
307,Tottenham Hotspur,,Cristian Romero,0,0.28,0,14,0,89.67,
308,Club Brugge KV,,Antonio Nusa,1,0.26,4,0,0,83.33,
309,Juventus,,Alex Sandro,0,0.03,2,3,0,91.01,
310,AFC Ajax,,Dušan Tadić,0,0.45,5,6,1,79.27,
311,Bayer 04 Leverkusen,,Kerem Demirbay,0,1.14,1,7,0,83.16,
312,Atlético Madrid,,Saúl Ñíguez,0,0.56,1,10,0,81.67,
313,Chelsea,,César Azpilicueta,0,0,1,7,0,89.1,
314,Paris Saint-Germain,,Nuno Mendes,1,0.16,11,11,0,76.44,
315,Olympique de Marseille,,Jonathan Clauss,0,0.29,7,6,1,75,
316,Tottenham Hotspur,,Pedro Porro,0,0.2,7,15,1,70.1,
317,Atlético Madrid,,Nahuel Molina,0,0.15,2,7,0,81,
318,Maccabi Haifa,,Neta Lavi,0,0.05,3,23,0,84.5,
319,Chelsea,,Ruben Loftus-Cheek,0,0.09,3,7,1,89.25,
320,FC Porto,,Evanilson,1,0.85,2,4,1,81.82,
321,RB Leipzig,,Willi Orbán,0,0.45,3,9,0,89.62,
322,Sevilla,,Youssef En-Nesyri,2,1.65,0,3,0,73.08,
323,Red Bull Salzburg,,Junior Adamu,1,1.31,1,9,1,51.16,
324,Real Madrid,,Eden Hazard,1,0.88,2,0,0,87.5,
325,Borussia Dortmund,,Thorgan Hazard,1,0.25,1,3,0,78.05,
326,Bayer 04 Leverkusen,,Jeremie Frimpong,0,0.44,4,8,2,76,
327,Barcelona,,Jules Koundé,0,0,2,7,1,90.82,
328,FC København,,Valdemar Lund,0,0.32,0,5,0,87.27,
329,FC København,,Paul Mukairu,0,0.27,4,2,0,66.67,
330,Manchester City,,Cole Palmer,0,0.26,4,1,0,89.83,
331,Real Madrid,,David Alaba,0,0.26,3,8,0,88.84,
332,Barcelona,,Sergio Busquets,0,0.23,1,8,0,83.13,
333,Tottenham Hotspur,,Ryan Sessegnon,0,0.2,1,9,0,77.14,
334,Red Bull Salzburg,,Amar Dedić,0,0.15,4,19,0,64.62,
335,Atlético Madrid,,Koke,0,0.12,0,2,0,89.76,
336,Sporting,,Sebastián Coates,0,0.1,1,8,0,88.12,
337,Juventus,,Federico Chiesa,0,0.09,0,0,0,88.89,
338,Tottenham Hotspur,,Japhet Tanganga,0,0.06,0,1,0,88.24,
339,Real Madrid,,Ferland Mendy,0,0.03,2,3,0,95.41,
340,Bayer 04 Leverkusen,,Piero Hincapié,0,0.03,2,19,0,83.04,
341,Liverpool,,Alex Oxlade-Chamberlain,0,0,2,1,0,80,
342,Sporting,,Dário Essugo,0,0,1,2,0,77.78,
343,Celtic,,Carl Starfelt,0,0,0,0,0,96.3,
344,FC Porto,,André Franco,0,0,0,1,0,92.31,
345,Viktoria Plzeň,,Marián Tvrdoň,0,0,0,0,0,55.81,
346,Sevilla,,Adnan Januzaj,0,0,2,2,0,83.33,
347,Tottenham Hotspur,,Oliver Skipp,0,0,1,8,0,88.33,
348,Chelsea,,João Félix,0,1.94,15,4,0,81.98,
349,RB Leipzig,,Timo Werner,2,2.41,4,2,1,78.48,
350,Milan,,Alexis Saelemaekers,2,0.5,13,7,0,75.21,
351,Napoli,,Mathías Olivera,0,0.58,1,16,2,83.13,
352,Borussia Dortmund,,Salih Özcan,0,0.06,2,8,1,85.86,
353,Real Madrid,,Dani Ceballos,0,0.26,5,4,0,91.86,
354,FC Bayern München,,Josip Stanišić,0,0,3,10,0,91.01,
355,Red Bull Salzburg,,Noah Okafor,3,1.73,7,4,0,72.06,
356,GNK Dinamo Zagreb,,Bruno Petković,1,0.48,3,8,2,66.84,
357,Olympique de Marseille,,Cengiz Ünder,0,0.52,2,3,0,86.75,
358,Viktoria Plzeň,,Lukáš Kalvach,0,0.31,2,13,0,75.35,
359,Inter,,Matteo Darmian,0,0.07,1,20,0,82.26,
360,Shakhtar Donetsk,,Lassina Traoré,1,0.46,1,0,0,72.92,
361,Sevilla,,Papu Gómez,0,0.34,3,2,1,85.22,
362,FC København,,Ísak Bergmann Jóhannesson,0,0.23,1,4,0,75.36,
363,RB Leipzig,,Dominik Szoboszlai,1,2.18,5,8,2,85.57,
364,Shakhtar Donetsk,,Bogdan Mykhaylichenko,0,0.14,0,7,2,82.32,
365,Paris Saint-Germain,,Vitinha,0,0.55,8,8,0,91.69,
366,Club Brugge KV,,Hans Vanaken,0,0.3,1,5,0,83.89,
367,Paris Saint-Germain,,Marquinhos,0,0.11,1,5,0,92.63,
368,Manchester City,,Aymeric Laporte,0,0,0,0,0,93.26,
369,Eintracht Frankfurt,,Jesper Lindstrøm,1,0.89,9,4,0,70,
370,Viktoria Plzeň,,Tomáš Chorý,2,2.04,0,3,0,58.33,
371,Sevilla,,Rafa Mir,1,0.48,0,0,0,61.76,
372,FC Bayern München,,Jamal Musiala,0,1.51,24,4,2,88.43,
373,Juventus,,Filip Kostić,0,0.4,2,8,1,77.95,
374,FC Bayern München,,Ryan Gravenberch,0,0.53,1,6,0,84.06,
375,Sporting,,Gonçalo Inácio,0,0.18,6,4,0,87.5,
376,Paris Saint-Germain,,Pablo Sarabia,0,0.12,1,1,0,76.19,
377,Celtic,,Callum McGregor,0,0.06,1,3,0,89.68,
378,Atlético Madrid,,Stefan Savić,0,0,0,3,0,89.05,
379,Club Brugge KV,,Casper Nielsen,0,0.56,0,19,1,72.12,
380,Shakhtar Donetsk,,Oleksandr Zubkov,2,1.01,2,7,0,77.45,
381,Bayer 04 Leverkusen,,Adam Hložek,0,0.46,1,2,1,74.42,
