#,Time,Time,Nome,Gols,Gols esperados (xG),Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore
661,Benfica,,Rodrigo Pinho,0,0,0,0,0,0,6.40,6.40
662,Maccabi Haifa,,Josh Cohen,0,0,0,0,0,0,6.40,6.40
663,Barcelona,,Ansu Fati,0,0.87,2,2,13,0,6.38,6.38
664,Viktoria Plzeň,,Lukáš Hejda,0,0.15,0,0,2,0,6.38,6.38
665,AFC Ajax,,Florian Grillitsch,0,0,0,0,0,0,6.38,6.38
666,Sevilla,,Bono,0,0,0,0,0,0,6.38,6.38
667,Sporting,,Flávio Nazinho,0,0.51,2,0,2,0,6.37,6.37
668,Maccabi Haifa,,Sean Goldberg,0,0.14,0,1,1,0,6.37,6.37
669,FC København,,Marko Stamenić,0,0.06,0,3,2,0,6.37,6.37
670,Eintracht Frankfurt,,Junior Dina Ebimbe,0,0.14,0,1,2,0,6.36,6.36
671,Viktoria Plzeň,,Pavel Bucha,0,0.1,0,4,3,0,6.36,6.36
672,Eintracht Frankfurt,,Aurélio Buta,0,0,0,0,0,0,6.35,6.35
673,Juventus,,Wojciech Szczęsny,0,0,0,0,0,0,6.35,6.35
674,Viktoria Plzeň,,Libor Holík,0,0.18,0,0,3,0,6.33,6.33
675,Club Brugge KV,,Roman Yaremchuk,0,0.5,1,2,3,0,6.33,6.33
676,Rangers,,Antonio Čolak,0,0.23,2,0,4,0,6.33,6.33
677,RB Leipzig,,Konrad Laimer,0,0.2,0,0,2,0,6.33,6.33
678,Rangers,,Scott Wright,0,0,0,1,0,0,6.33,6.33
679,Olympique de Marseille,,Nuno Tavares,0,0.35,0,15,12,0,6.32,6.32
680,Barcelona,,Alejandro Balde,0,0.01,0,5,1,0,6.30,6.30
681,Celtic,,Alexandro Bernabei,0,0,0,1,0,0,6.30,6.30
682,Atlético Madrid,,Ivo Grbić,0,0,0,0,0,0,6.30,6.30
683,Rangers,,Alex Lowry,0,0,0,0,0,0,6.30,6.30
684,Borussia Dortmund,,Jamie Gittens,0,0,0,0,0,0,6.30,6.30
685,Juventus,,Federico Gatti,0,0,0,2,0,0,6.30,6.30
686,Maccabi Haifa,,Arad Ofri,0,0,0,0,0,0,6.30,6.30
687,Milan,,Charles De Ketelaere,0,0.54,1,1,4,0,6.28,6.28
688,Rangers,,Ryan Kent,0,0.29,0,12,7,0,6.28,6.28
689,RB Leipzig,,Benjamin Henrichs,0,0.27,1,1,2,0,6.28,6.28
690,Juventus,,Fabio Miretti,0,0.35,1,2,4,0,6.26,6.26
691,Shakhtar Donetsk,,Lucas Taylor,0,0,0,5,0,0,6.26,6.26
692,FC København,,Roony Bardghji,0,0.32,1,2,3,0,6.25,6.25
693,Club Brugge KV,,Tajon Buchanan,0,0.36,1,9,8,0,6.23,6.23
694,Maccabi Haifa,,Mavis Tchibota,0,0.12,0,1,4,0,6.23,6.23
695,Rangers,,Ben Davies,0,0.09,0,0,2,0,6.23,6.23
696,Celtic,,Joe Hart,0,0,0,0,0,0,6.23,6.23
697,Maccabi Haifa,,Sun Menahem,0,0,0,0,0,0,6.23,6.23
698,Viktoria Plzeň,,Luděk Pernica,0,0.3,1,0,1,0,6.22,6.22
699,Rangers,,James Sands,0,0.05,0,0,1,0,6.20,6.20
700,Inter,,Valentín Carboni,0,0,0,0,0,0,6.20,6.20
701,Club Brugge KV,,Cisse Sandra,0,0,0,0,0,0,6.20,6.20
702,FC København,,Mamoudou Karamoko,0,0,0,0,0,0,6.20,6.20
703,FC København,,Peter Ankersen,0,0,0,0,0,0,6.20,6.20
704,Club Brugge KV,,Clinton Mata,0,0,0,2,0,0,6.20,6.20
705,Sporting,,Franco Israel,0,0,0,0,0,0,6.15,6.15
706,Rangers,,John Lundstram,0,0.15,0,2,1,0,6.14,6.14
707,Rangers,,Leon King,0,0.07,0,1,1,0,6.10,6.10
708,Atlético Madrid,,Pablo Barrios,0,0,0,1,0,0,6.10,6.10
709,Club Brugge KV,,Jack Hendry,0,0,0,0,0,0,6.10,6.10
710,Viktoria Plzeň,,Jan Kopic,0,0.1,0,0,2,0,6.00,6.00
711,Sevilla,,Karim Rekik,0,0,0,0,0,0,6.00,6.00
712,Rangers,,Glen Kamara,0,0,0,1,0,0,5.90,5.90
713,RB Leipzig,,Péter Gulácsi,0,0,0,0,0,0,5.77,5.77
714,Sporting,,Ricardo Esgaio,0,0,0,0,0,0,4.65,4.65
715,Viktoria Plzeň,,Adam Kronus,0,0.12,0,0,2,0,0,
716,Benfica,,Andreas Schjelderup,0,0,0,0,0,0,0,
717,Juventus,,Enzo Barrenechea,0,0,0,0,0,0,0,
718,Club Brugge KV,,Jorne Spileers,0,0,0,0,0,0,0,
719,RB Leipzig,,Hugo Novoa Ramos,0,0,0,0,0,0,0,
720,Juventus,,Tommaso Barbieri,0,0,0,0,0,0,0,
721,Benfica,,Lucas Veríssimo,0,0,0,0,0,0,0,
722,FC Porto,,Rodrigo Conceição,0,0,0,0,0,0,0,
