#,Time,Time,Nome,Gols,Gols esperados (xG),Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore
168,Atlético Madrid,,Yannick Carrasco,1,1.74,1,8,13,7.69,6.73,6.73
169,Juventus,,Leonardo Bonucci,1,0.77,0,2,2,50,6.73,6.73
170,Milan,,Tommaso Pobega,1,0.63,0,1,7,14.29,6.70,6.70
171,Milan,,Rade Krunić,1,0.9,2,4,5,20,6.69,6.69
172,Inter,,Joaquín Correa,1,0.66,2,8,5,20,6.69,6.69
173,Club Brugge KV,,Abakar Sylla,1,0.05,0,4,1,100,6.68,6.68
174,Juventus,,Moise Kean,1,1.44,0,2,4,25,6.68,6.68
175,Celtic,,Giorgos Giakoumakis,1,1.74,2,1,10,10,6.67,6.67
176,Juventus,,Dušan Vlahović,1,2.64,3,0,15,6.67,6.66,6.66
177,Viktoria Plzeň,,Adam Vlkanova,1,0.43,1,5,10,10,6.62,6.62
178,Maccabi Haifa,,Dean David,1,1.93,2,7,10,10,6.62,6.62
179,Milan,,Junior Messias,1,0.42,1,3,6,16.67,6.59,6.59
180,Milan,,Brahim Díaz,1,1.56,3,17,11,9.09,6.58,6.58
181,Atlético Madrid,,Mario Hermoso,1,0.68,1,0,4,25,6.53,6.53
182,Barcelona,,Pablo Torre,1,0.39,0,0,1,100,6.53,6.53
183,Rangers,,Scott Arfield,1,0.61,1,0,5,20,6.50,6.50
184,GNK Dinamo Zagreb,,Robert Ljubičić,1,0.29,0,7,6,16.67,6.50,6.50
185,Rangers,,James Tavernier,1,1.09,0,3,5,20,6.48,6.48
186,AFC Ajax,,Davy Klaassen,1,0.07,0,0,1,100,6.44,6.44
187,Viktoria Plzeň,,Jan Sýkora,1,0.49,0,1,3,33.33,6.30,6.30
188,Borussia Dortmund,,Gregor Kobel,0,0,0,0,0,0,7.83,7.83
189,Atlético Madrid,,Felipe,0,0.18,0,0,2,0,7.70,7.70
190,Red Bull Salzburg,,Fernando,0,0.58,1,1,4,0,7.60,7.60
191,Juventus,,Ángel Di María,0,0.32,0,4,4,0,7.57,7.57
192,FC Bayern München,,Manuel Neuer,0,0,0,0,0,0,7.57,7.57
193,FC Porto,,Diogo Costa,0,0,0,0,0,0,7.53,7.53
194,Milan,,Ciprian Tătărușanu,0,0,0,0,0,0,7.48,7.48
195,Liverpool,,Konstantinos Tsimikas,0,0.12,0,4,3,0,7.45,7.45
196,FC København,,Kamil Grabara,0,0,0,0,0,0,7.43,7.43
197,Club Brugge KV,,Simon Mignolet,0,0,0,0,0,0,7.41,7.41
198,Inter,,André Onana,0,0,0,0,0,0,7.41,7.41
199,Tottenham Hotspur,,Ivan Perišić,0,0.17,0,8,2,0,7.40,7.40
200,Juventus,,Samuel Iling Junior,0,0,0,0,0,0,7.40,7.40
201,Tottenham Hotspur,,Pape Matar Sarr,0,0.06,0,1,3,0,7.40,7.40
202,Barcelona,,Iñaki Peña,0,0,0,0,0,0,7.40,7.40
203,Sevilla,,Marko Dmitrović,0,0,0,0,0,0,7.40,7.40
204,Borussia Dortmund,,Thomas Meunier,0,0.13,0,2,2,0,7.38,7.38
205,Real Madrid,,Toni Kroos,0,0.28,0,2,10,0,7.37,7.37
206,Real Madrid,,Thibaut Courtois,0,0,0,0,0,0,7.34,7.34
207,FC Bayern München,,Sven Ulreich,0,0,0,0,0,0,7.33,7.33
208,Milan,,Malick Thiaw,0,0.77,1,1,3,0,7.33,7.33
209,Atlético Madrid,,Geoffrey Kondogbia,0,0.3,0,1,7,0,7.30,7.30
210,Manchester City,,Ederson,0,0,0,1,0,0,7.29,7.29
211,Liverpool,,Thiago Alcântara,0,0.17,0,2,3,0,7.28,7.28
212,FC Bayern München,,Yann Sommer,0,0,0,0,0,0,7.28,7.28
213,Manchester City,,Nathan Aké,0,0.16,0,2,4,0,7.27,7.27
214,Shakhtar Donetsk,,Anatoliy Trubin,0,0,0,0,0,0,7.27,7.27
215,Inter,,Alessandro Bastoni,0,0.21,0,2,4,0,7.26,7.26
216,Barcelona,,Jordi Alba,0,0,0,0,0,0,7.25,7.25
217,Borussia Dortmund,,Mats Hummels,0,0.04,0,0,1,0,7.25,7.25
218,GNK Dinamo Zagreb,,Dino Perić,0,0,0,1,0,0,7.25,7.25
219,Manchester City,,Jack Grealish,0,1.01,0,26,16,0,7.25,7.25
220,Milan,,Mike Maignan,0,0,0,0,0,0,7.21,7.21
221,Benfica,,Alexander Bah,0,0.07,0,8,2,0,7.21,7.21
222,Napoli,,Min-jae Kim,0,0.04,0,2,1,0,7.21,7.21
223,Sevilla,,Fernando,0,0,0,0,0,0,7.20,7.20
224,Borussia Dortmund,,Felix Passlack,0,0,0,1,0,0,7.20,7.20
225,Chelsea,,Enzo Fernández,0,0.77,1,5,19,0,7.19,7.19
226,Barcelona,,Raphinha,0,0.49,1,1,10,0,7.18,7.18
227,FC Bayern München,,Matthijs de Ligt,0,0.07,0,0,1,0,7.17,7.17
228,FC Porto,,Iván Marcano,0,0.1,0,0,1,0,7.17,7.17
229,Chelsea,,Thiago Silva,0,0.69,2,1,7,0,7.16,7.16
230,Barcelona,,Sergi Roberto,0,0.14,0,0,4,0,7.13,7.13
231,Benfica,,Nicolás Otamendi,0,0.27,0,0,4,0,7.13,7.13
232,FC Porto,,Otávio,0,0.65,0,11,5,0,7.13,7.13
233,Eintracht Frankfurt,,Kevin Trapp,0,0,0,0,0,0,7.13,7.13
234,Napoli,,Alex Meret,0,0,0,0,0,0,7.12,7.12
235,Chelsea,,Ben Chilwell,0,0.22,0,6,6,0,7.11,7.11
236,Olympique de Marseille,,Jordan Veretout,0,0.12,0,1,3,0,7.10,7.10
237,FC Porto,,Fábio Cardoso,0,0.18,0,1,3,0,7.10,7.10
238,Juventus,,Daniele Rugani,0,0.15,0,0,2,0,7.10,7.10
239,Liverpool,,Cody Gakpo,0,0.09,0,2,2,0,7.10,7.10
240,Tottenham Hotspur,,Fraser Forster,0,0,0,0,0,0,7.10,7.10
241,Sevilla,,Marcão,0,0,0,0,0,0,7.10,7.10
242,Tottenham Hotspur,,Hugo Lloris,0,0,0,0,0,0,7.10,7.10
243,Chelsea,,Kepa Arrizabalaga,0,0,0,0,0,0,7.10,7.10
244,FC Bayern München,,João Cancelo,0,0.3,0,7,8,0,7.09,7.09
245,Chelsea,,Kalidou Koulibaly,0,0.47,1,1,3,0,7.09,7.09
246,Milan,,Sandro Tonali,0,0.63,0,6,9,0,7.08,7.08
247,Liverpool,,Jordan Henderson,0,0,0,2,0,0,7.08,7.08
248,Napoli,,Amir Rrahmani,0,0.22,0,1,3,0,7.07,7.07
249,FC Bayern München,,Alphonso Davies,0,0.49,1,23,5,0,7.07,7.07
250,Olympique de Marseille,,Valentin Rongier,0,0.4,0,4,4,0,7.07,7.07
251,Benfica,,Chiquinho,0,0.39,0,7,7,0,7.06,7.06
252,Juventus,,Juan Cuadrado,0,0.14,0,6,5,0,7.05,7.05
253,Celtic,,Matt O'Riley,0,0.94,1,3,16,0,7.05,7.05
254,Milan,,Simon Kjær,0,0.26,1,0,3,0,7.05,7.05
255,Juventus,,Mattia Perin,0,0,0,0,0,0,7.05,7.05
256,Inter,,Federico Dimarco,0,1.35,3,4,13,0,7.05,7.05
257,Paris Saint-Germain,,Marco Verratti,0,0.08,0,11,2,0,7.04,7.04
258,Atlético Madrid,,Axel Witsel,0,0.06,0,1,1,0,7.03,7.03
259,Barcelona,,Andreas Christensen,0,0.05,0,1,1,0,7.03,7.03
260,Juventus,,Leandro Paredes,0,0.12,0,1,3,0,7.03,7.03
261,FC Porto,,Marko Grujić,0,0.5,0,2,7,0,7.03,7.03
