#,Time,Time,Nome,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Notas Sofascore,Nota Sofascore
150,Real Madrid,,Antonio Rüdiger,10,6,25,0,6.89,6.89
151,FC Porto,,Mateus Uribe,10,11,11,0,6.89,6.89
152,Bayer 04 Leverkusen,,Odilon Kossounou,10,4,18,0,6.88,6.88
153,Real Madrid,,Aurélien Tchouaméni,10,7,3,0,6.87,6.87
154,Atlético Madrid,,Saúl Ñíguez,10,4,5,0,6.82,6.82
155,FC Bayern München,,Josip Stanišić,10,4,6,0,6.79,6.79
156,Inter,,Stefan de Vrij,10,4,21,0,6.75,6.75
157,Red Bull Salzburg,,Bernardo,10,5,16,1,6.73,6.73
158,Sporting,,Matheus Reis,10,3,14,0,6.63,6.63
159,Shakhtar Donetsk,,Yukhym Konoplia,10,2,11,0,6.48,6.48
160,AFC Ajax,,Jorge Sánchez,10,2,9,0,6.48,6.48
161,Rangers,,Malik Tillman,10,3,3,0,6.42,6.42
162,Maccabi Haifa,,Sean Goldberg,10,4,22,0,6.37,6.37
163,RB Leipzig,,Konrad Laimer,10,2,2,0,6.33,6.33
164,Rangers,,Leon King,10,5,12,0,6.10,6.10
165,Manchester City,,Kevin De Bruyne,9,2,4,0,7.61,7.61
166,Manchester City,,Riyad Mahrez,9,1,1,0,7.20,7.20
167,Napoli,,Amir Rrahmani,9,2,26,0,7.07,7.07
168,Inter,,Federico Dimarco,9,10,13,0,7.05,7.05
169,Paris Saint-Germain,,Sergio Ramos,9,11,23,0,7.00,7.00
170,FC København,,Viktor Claesson,9,9,8,0,6.98,6.98
171,Real Madrid,,Nacho Fernández,9,17,14,0,6.97,6.97
172,RB Leipzig,,Joško Gvardiol,9,4,23,0,6.97,6.97
173,Napoli,,Matteo Politano,9,1,6,0,6.97,6.97
174,Manchester City,,Kyle Walker,9,3,8,0,6.96,6.96
175,Shakhtar Donetsk,,Georgiy Sudakov,9,6,4,1,6.95,6.95
176,Sevilla,,Ivan Rakitić,9,4,3,0,6.95,6.95
177,Bayer 04 Leverkusen,,Mitchel Bakker,9,4,5,0,6.95,6.95
178,Inter,,Milan Škriniar,9,4,20,0,6.95,6.95
179,Red Bull Salzburg,,Maximilian Wöber,9,0,4,0,6.90,6.90
180,Club Brugge KV,,Bjorn Meijer,9,11,10,1,6.89,6.89
181,Juventus,,Manuel Locatelli,9,2,2,0,6.88,6.88
182,Inter,,Denzel Dumfries,9,8,16,0,6.85,6.85
183,RB Leipzig,,Willi Orbán,9,8,25,0,6.81,6.81
184,Red Bull Salzburg,,Junior Adamu,9,1,0,0,6.80,6.80
185,Tottenham Hotspur,,Ryan Sessegnon,9,2,7,0,6.80,6.80
186,Maccabi Haifa,,Mohammad Abu Fani,9,3,0,0,6.75,6.75
187,Chelsea,,Conor Gallagher,9,5,4,0,6.71,6.71
188,GNK Dinamo Zagreb,,Sadegh Moharrami,9,0,2,0,6.67,6.67
189,Club Brugge KV,,Raphael Onyedika,9,6,14,0,6.66,6.66
190,Eintracht Frankfurt,,Ansgar Knauff,9,6,1,0,6.62,6.62
191,Sevilla,,Marcos Acuña,9,2,3,0,6.58,6.58
192,Paris Saint-Germain,,Achraf Hakimi,9,8,6,0,6.55,6.55
193,Rangers,,Borna Barišić,9,3,5,0,6.47,6.47
194,Club Brugge KV,,Tajon Buchanan,9,0,4,0,6.23,6.23
195,FC Porto,,Mehdi Taremi,8,1,10,0,7.66,7.66
196,Napoli,,Piotr Zieliński,8,4,4,0,7.40,7.40
197,Atlético Madrid,,Geoffrey Kondogbia,8,7,2,0,7.30,7.30
198,Borussia Dortmund,,Mats Hummels,8,7,17,0,7.25,7.25
199,GNK Dinamo Zagreb,,Dino Perić,8,14,52,1,7.25,7.25
200,Manchester City,,Jack Grealish,8,4,4,0,7.25,7.25
