#,Time,Time,Nome,Gols,Gols esperados (xG),Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore
671,Shakhtar Donetsk,,Marian Shved,0,,0,0,0,0,6.40,6.40
672,Royal Antwerp FC,,Kobe Corbanie,0,,0,0,0,0,6.40,6.40
673,Sporting Braga,,Diogo Fonseca,0,0.35,1,0,1,0,6.40,6.40
674,Sevilla,,Rafa Mir,0,0.09,0,0,1,0,6.40,6.40
675,Newcastle United,,Joe Willock,0,0.05,0,0,2,0,6.40,6.40
676,RB Leipzig,,Fabio Carvalho,0,0.11,0,1,4,0,6.37,6.37
677,Real Sociedad,,Mohamed-Ali Cho,0,0.04,0,0,1,0,6.37,6.37
678,Sporting Braga,,Adrián Marín,0,,0,0,0,0,6.35,6.35
679,Newcastle United,,Callum Wilson,0,0.81,3,0,6,0,6.35,6.35
680,Young Boys,,Saidy Janko,0,,0,8,0,0,6.34,6.34
681,Young Boys,,Noah Persson,0,,0,0,0,0,6.33,6.33
682,Royal Antwerp FC,,Owen Wijndal,0,0.01,0,0,1,0,6.32,6.32
683,Sevilla,,Marcos Acuña,0,0.15,0,1,2,0,6.30,6.30
684,Manchester United,,Lisandro Martínez,0,,0,2,0,0,6.30,6.30
685,Atlético Madrid,,Reinildo Mandava,0,,0,0,0,0,6.30,6.30
686,Galatasaray,,Kâzımcan Karataş,0,,0,1,0,0,6.30,6.30
687,1. FC Union Berlin,,Aljoscha Kemlein,0,,0,0,0,0,6.30,6.30
688,Celtic,,Mitchel Frame,0,,0,0,0,0,6.30,6.30
689,Celtic,,David Turnbull,0,,0,0,0,0,6.30,6.30
690,Feyenoord,,Bart Nieuwkoop,0,,0,0,0,0,6.30,6.30
691,FC København,,William Clem,0,0.05,0,0,1,0,6.30,6.30
692,Sevilla,,Tanguy Nianzou,0,0.01,0,0,1,0,6.30,6.30
693,Royal Antwerp FC,,Gyrano Kerk,0,0.22,1,3,3,0,6.28,6.28
694,FC København,,Valdemar Lund,0,,0,0,0,0,6.25,6.25
695,FC København,,Jordan Larsson,0,1.04,2,0,4,0,6.25,6.25
696,Young Boys,,Sandro Lauper,0,0.14,0,1,4,0,6.25,6.25
697,Barcelona,,Hector Fort,0,,0,0,0,0,6.20,6.20
698,Newcastle United,,Lewis Hall,0,,0,0,0,0,6.20,6.20
699,Newcastle United,,Martin Dúbravka,0,,0,0,0,0,6.20,6.20
700,Manchester City,,Mahamadou Susoho,0,,0,0,0,0,6.20,6.20
701,Inter,,Davy Klaassen,0,,0,0,0,0,6.20,6.20
702,Napoli,,Alessandro Zanoli,0,0.03,0,1,1,0,6.20,6.20
703,Milan,,Pierre Kalulu,0,,0,1,0,0,6.10,6.10
704,Feyenoord,,Marcos López,0,,0,0,0,0,6.10,6.10
705,Benfica,,Florentino Luís,0,,0,0,0,0,6.10,6.10
706,Royal Antwerp FC,,Jürgen Ekkelenkamp,0,0.15,0,1,1,0,6.10,6.10
707,Celtic,,Daizen Maeda,0,0.42,0,8,5,0,6.08,6.08
708,FC Porto,,Romário Baró,0,,0,1,0,0,6.00,6.00
709,FK Crvena zvezda,,Uroš Spajić,0,,0,0,0,0,6.00,6.00
710,Shakhtar Donetsk,,Stav Lemkin,0,,0,0,0,0,6.00,6.00
711,RC Lens,,Abdukodir Khusanov,0,,0,0,0,0,5.90,5.90
712,Galatasaray,,Victor Nelsson,0,0.01,0,0,1,0,5.87,5.87
713,Benfica,,António Silva,0,,0,2,0,0,5.80,5.80
714,PSV Eindhoven,,Isaac Babadi,0,,0,0,0,0,5.50,5.50
715,Celtic,,Odin Thiago Holm,0,,0,2,0,0,5.50,5.50
716,Real Sociedad,,Jon Aramburu,0,,0,0,0,0,0,
717,Newcastle United,,Harvey Barnes,0,,0,0,0,0,0,
718,Milan,,Simon Kjær,0,,0,0,0,0,0,
719,Napoli,,Cyril Ngonge,0,,0,0,0,0,0,
720,Manchester City,,Jacob Wright,0,,0,0,0,0,0,
721,Milan,,Davide Bartesaghi,0,,0,0,0,0,0,
722,Atlético Madrid,,Ilias Kostis,0,,0,0,0,0,0,
723,PSV Eindhoven,,Fredrik Oppegård,0,,0,0,0,0,0,
724,Sporting Braga,,Rony Lopes,0,0.11,0,0,2,0,0,
