#,Time,Time,Nome,Gols,Gols esperados (xG),Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore
120,Newcastle United,,Joelinton,1,0.54,1,5,7,14.29,7.10,7.10
121,Paris Saint-Germain,,Milan Škriniar,1,0.53,0,0,3,33.33,7.10,7.10
122,Lazio,,Ivan Provedel,1,0.47,0,0,1,100,7.08,7.08
123,Napoli,,Piotr Zieliński,1,2.04,3,5,8,12.5,7.07,7.07
124,Borussia Dortmund,,Marcel Sabitzer,1,1.17,3,4,12,8.33,7.06,7.06
125,FC Porto,,Pepê,1,1.19,1,10,9,11.11,7.06,7.06
126,Real Sociedad,,Ander Barrenetxea,1,0.4,0,16,9,11.11,7.06,7.06
127,RB Leipzig,,Xaver Schlager,1,0.06,0,5,2,50,7.05,7.05
128,FC København,,Magnus Mattsson,1,0.54,1,1,5,20,7.05,7.05
129,Feyenoord,,Alireza Jahanbakhsh,1,0.25,0,1,3,33.33,7.05,7.05
130,FC Bayern München,,Sacha Boey,1,0.24,0,7,5,20,7.05,7.05
131,Manchester City,,Micah Hamilton,1,0.2,0,0,3,33.33,7.05,7.05
132,Borussia Dortmund,,Ian Maatsen,1,0.18,0,5,4,25,7.04,7.04
133,Red Bull Salzburg,,Roko Šimić,1,1.2,0,3,8,12.5,7.04,7.04
134,Borussia Dortmund,,Donyell Malen,1,2.09,1,7,23,4.35,7.04,7.04
135,Atlético Madrid,,Memphis Depay,1,1.02,2,3,7,14.29,7.03,7.03
136,Paris Saint-Germain,,Warren Zaïre-Emery,1,0.71,1,10,7,14.29,7.03,7.03
137,Newcastle United,,Fabian Schär,1,0.23,0,0,5,20,7.02,7.02
138,Barcelona,,Andreas Christensen,1,0.71,0,1,4,25,7.01,7.01
139,Shakhtar Donetsk,,Georgiy Sudakov,1,1.08,1,6,10,10,7.00,7.00
140,1. FC Union Berlin,,David Datro Fofana,1,0.9,1,5,8,12.5,7.00,7.00
141,Barcelona,,Gavi,1,0.46,0,3,3,33.33,7.00,7.00
142,PSV Eindhoven,,Jordan Teze,1,0.26,0,1,4,25,7.00,7.00
143,Manchester City,,Oscar Bobb,1,0.22,0,3,4,25,7.00,7.00
144,Feyenoord,,Ramiz Zerrouki,1,0.15,0,5,5,20,7.00,7.00
145,Shakhtar Donetsk,,Yaroslav Rakitskyi,1,0.05,0,0,1,100,7.00,7.00
146,Shakhtar Donetsk,,Mykola Matviyenko,1,0.45,2,0,3,33.33,6.98,6.98
147,Feyenoord,,Yankuba Minteh,1,1.32,2,11,10,10,6.98,6.98
148,Red Bull Salzburg,,Luka Sučić,1,0.3,0,9,8,12.5,6.97,6.97
149,Sevilla,,Lucas Ocampos,1,0.69,1,16,12,8.33,6.96,6.96
150,PSV Eindhoven,,Yorbe Vertessen,1,0.41,1,4,5,20,6.95,6.95
151,Young Boys,,Ebrima Colley,1,0.79,0,1,6,16.67,6.95,6.95
152,Benfica,,Arthur Cabral,1,0.68,0,1,3,33.33,6.95,6.95
153,Arsenal,,Jorginho,1,0.81,0,0,2,50,6.94,6.94
154,Atlético Madrid,,Pablo Barrios,1,0.32,0,4,4,25,6.94,6.94
155,Inter,,Federico Dimarco,1,0.47,0,1,6,16.67,6.94,6.94
156,Feyenoord,,Dávid Hancko,1,1.3,1,2,7,14.29,6.93,6.93
157,Borussia Dortmund,,Jadon Sancho,1,0.17,0,26,3,33.33,6.93,6.93
158,Newcastle United,,Sean Longstaff,1,0.13,0,3,2,50,6.92,6.92
159,1. FC Union Berlin,,Robin Gosens,1,0.4,0,1,5,20,6.92,6.92
160,FC Bayern München,,Alphonso Davies,1,0.23,0,20,4,25,6.91,6.91
161,Atlético Madrid,,Mario Hermoso,1,0.1,0,6,4,25,6.91,6.91
162,Barcelona,,Marc Guiu,1,0.37,0,0,2,50,6.90,6.90
163,Shakhtar Donetsk,,Eguinaldo,1,0.12,0,0,2,50,6.90,6.90
164,Inter,,Marcus Thuram,1,1.48,2,12,9,11.11,6.89,6.89
165,1. FC Union Berlin,,Alex Král,1,0.06,0,1,3,33.33,6.88,6.88
166,Napoli,,Frank Anguissa,1,1.02,2,6,10,10,6.87,6.87
167,FC Porto,,Francisco Conceição,1,0.92,0,5,7,14.29,6.87,6.87
168,Galatasaray,,Wilfried Zaha,1,0.78,0,10,9,11.11,6.85,6.85
169,Young Boys,,Cédric Itten,1,1.27,0,0,8,12.5,6.85,6.85
170,Milan,,Christian Pulišić,1,1.09,1,6,10,10,6.85,6.85
171,Lazio,,Matías Vecino,1,0.6,0,1,7,14.29,6.85,6.85
172,PSV Eindhoven,,Ismael Saibari,1,1.8,2,9,11,9.09,6.84,6.84
173,Manchester United,,Scott McTominay,1,1.38,1,3,9,11.11,6.84,6.84
174,PSV Eindhoven,,Ricardo Pepi,1,0.79,1,0,5,20,6.84,6.84
175,Atlético Madrid,,Ángel Correa,1,2.07,4,9,16,6.25,6.83,6.83
176,Napoli,,Giovanni Simeone,1,1.37,0,1,7,14.29,6.83,6.83
177,FC København,,Roony Bardghji,1,0.45,1,6,4,25,6.83,6.83
178,FK Crvena zvezda,,Cherif Ndiaye,1,2.85,2,5,9,11.11,6.82,6.82
179,RB Leipzig,,Emil Forsberg,1,0.82,0,4,9,11.11,6.82,6.82
180,Paris Saint-Germain,,Lucas Hernández,1,0.65,0,4,4,25,6.81,6.81
181,Royal Antwerp FC,,Vincent Janssen,1,0.96,0,2,12,8.33,6.80,6.80
182,Manchester City,,Kalvin Phillips,1,0.91,0,0,5,20,6.80,6.80
183,Sporting Braga,,Sikou Niakaté,1,0.86,0,0,3,33.33,6.80,6.80
184,RB Leipzig,,Mohamed Simakan,1,0.7,1,1,5,20,6.80,6.80
185,Paris Saint-Germain,,Bradley Barcola,1,2.41,4,19,16,6.25,6.79,6.79
186,Napoli,,Giacomo Raspadori,1,0.34,0,2,9,11.11,6.79,6.79
187,Borussia Dortmund,,Sébastien Haller,1,0.31,0,0,1,100,6.78,6.78
188,Arsenal,,Kai Havertz,1,0.99,2,3,11,9.09,6.77,6.77
189,FK Crvena zvezda,,Aleksandar Katai,1,0.37,0,3,6,16.67,6.76,6.76
190,Celtic,,Gustaf Lagerbielke,1,0.79,0,0,1,100,6.75,6.75
191,Royal Antwerp FC,,Alhassan Yusuf,1,0.23,0,3,3,33.33,6.73,6.73
192,Atlético Madrid,,Saúl Ñíguez,1,0.39,0,0,5,20,6.73,6.73
193,Borussia Dortmund,,Felix Nmecha,1,0.48,1,4,7,14.29,6.73,6.73
194,Newcastle United,,Alexander Isak,1,1.42,1,2,6,16.67,6.72,6.72
195,Arsenal,,Edward Nketiah,1,0.36,0,1,5,20,6.72,6.72
196,Royal Antwerp FC,,Arbnor Muja,1,0.8,1,6,11,9.09,6.70,6.70
197,Royal Antwerp FC,,Michel Ange Balikwisha,1,0.68,1,6,3,33.33,6.70,6.70
198,Borussia Dortmund,,Jamie Gittens,1,0.53,0,5,8,12.5,6.70,6.70
199,Young Boys,,Lewin Blum,1,0.09,0,1,4,25,6.70,6.70
200,Milan,,Olivier Giroud,1,2.58,4,0,13,7.69,6.68,6.68
201,Paris Saint-Germain,,Randal Kolo Muani,1,1.9,2,7,8,12.5,6.68,6.68
202,RC Lens,,Adrien Thomasson,1,0.37,1,0,5,20,6.68,6.68
203,Royal Antwerp FC,,George Ilenikhena,1,0.78,0,1,2,50,6.67,6.67
204,FK Crvena zvezda,,Marko Stamenić,1,0.53,0,1,2,50,6.65,6.65
205,1. FC Union Berlin,,Kevin Volland,1,0.68,1,1,2,50,6.62,6.62
206,Galatasaray,,Tetê,1,0.15,1,4,3,33.33,6.60,6.60
207,Manchester United,,Alejandro Garnacho,1,1,3,4,8,12.5,6.53,6.53
208,Shakhtar Donetsk,,Kevin Kelsy,1,0.25,0,0,2,50,6.45,6.45
209,Newcastle United,,Nick Pope,0,,0,0,0,0,7.70,7.70
210,Borussia Dortmund,,Alexander Meyer,0,,0,0,0,0,7.60,7.60
211,Real Madrid,,Andriy Lunin,0,,0,0,0,0,7.58,7.58
212,Inter,,Yann Sommer,0,,0,0,0,0,7.54,7.54
213,Borussia Dortmund,,Gregor Kobel,0,,0,1,0,0,7.54,7.54
214,Red Bull Salzburg,,Alexander Schlager,0,,0,0,0,0,7.53,7.53
215,Borussia Dortmund,,Ramy Bensebaini,0,0.09,0,2,3,0,7.52,7.52
216,Real Madrid,,Thibaut Courtois,0,,0,0,0,0,7.50,7.50
217,Manchester City,,Matheus Nunes,0,1.69,2,9,12,0,7.45,7.45
218,Real Madrid,,Toni Kroos,0,0.32,0,2,7,0,7.44,7.44
219,Napoli,,Natan,0,0.25,0,2,2,0,7.44,7.44
220,Manchester City,,Jack Grealish,0,1.15,0,6,13,0,7.44,7.44
221,Barcelona,,İlkay Gündoğan,0,0.94,1,10,15,0,7.43,7.43
222,Young Boys,,Anthony Racioppi,0,,0,0,0,0,7.40,7.40
223,Shakhtar Donetsk,,Dmytro Riznyk,0,,0,1,0,0,7.40,7.40
224,PSV Eindhoven,,Noa Lang,0,0.46,1,13,9,0,7.40,7.40
225,Sevilla,,Ivan Rakitić,0,0.1,0,1,3,0,7.37,7.37
226,Benfica,,João Neves,0,0.39,1,13,6,0,7.37,7.37
227,Sevilla,,Ørjan Nyland,0,,0,0,0,0,7.35,7.35
228,Inter,,Nicolò Barella,0,0.86,1,1,6,0,7.34,7.34
229,PSV Eindhoven,,Joey Veerman,0,0.37,0,6,8,0,7.33,7.33
230,Feyenoord,,Igor Paixão,0,1.41,1,10,11,0,7.30,7.30
231,Napoli,,Alex Meret,0,,0,0,0,0,7.29,7.29
232,RB Leipzig,,Benjamin Henrichs,0,0.22,0,4,5,0,7.28,7.28
233,Milan,,Mike Maignan,0,,0,0,0,0,7.27,7.27
234,Real Sociedad,,Takefusa Kubo,0,0.35,0,17,11,0,7.26,7.26
235,Sporting Braga,,Ricardo Horta,0,1.19,0,4,17,0,7.25,7.25
236,Barcelona,,Lamine Yamal,0,1.72,3,23,21,0,7.24,7.24
237,Atlético Madrid,,Jan Oblak,0,,0,0,0,0,7.24,7.24
238,Shakhtar Donetsk,,Oleksandr Zubkov,0,0.4,0,9,10,0,7.23,7.23
239,Milan,,Alessandro Florenzi,0,0.04,0,2,1,0,7.23,7.23
240,Napoli,,Khvicha Kvaratskhelia,0,0.93,1,29,17,0,7.23,7.23
241,Arsenal,,Declan Rice,0,0.24,0,16,4,0,7.22,7.22
242,FC Bayern München,,Leon Goretzka,0,0.79,3,3,9,0,7.21,7.21
243,RB Leipzig,,Kevin Kampl,0,0.05,0,2,2,0,7.20,7.20
244,Paris Saint-Germain,,Danilo Pereira,0,,0,0,0,0,7.20,7.20
245,FC Bayern München,,Dayot Upamecano,0,0.28,1,0,5,0,7.20,7.20
246,Paris Saint-Germain,,Fabián Ruiz,0,1.36,3,8,13,0,7.19,7.19
247,Lazio,,Luis Alberto,0,0.87,0,4,14,0,7.19,7.19
248,Celtic,,Matt O'Riley,0,0.14,0,3,4,0,7.18,7.18
249,Atlético Madrid,,Marcos Llorente,0,0.25,0,4,5,0,7.18,7.18
250,Manchester City,,Rúben Dias,0,0.67,1,1,5,0,7.18,7.18
251,Shakhtar Donetsk,,Irakli Azarovi,0,0.07,0,0,3,0,7.18,7.18
252,Benfica,,Nicolás Otamendi,0,0.48,0,1,7,0,7.17,7.17
253,FK Crvena zvezda,,Omri Glazer,0,,0,0,0,0,7.17,7.17
254,Arsenal,,David Raya,0,,0,0,0,0,7.17,7.17
255,Barcelona,,Jules Koundé,0,0.05,0,5,2,0,7.16,7.16
256,Sporting Braga,,Mutassim Al-Musrati,0,0.29,0,1,4,0,7.16,7.16
257,Inter,,Henrikh Mkhitaryan,0,0.27,0,9,5,0,7.16,7.16
258,Milan,,Theo Hernández,0,0.76,1,4,9,0,7.15,7.15
259,Milan,,Ruben Loftus-Cheek,0,0.55,0,13,8,0,7.15,7.15
260,FC Porto,,David Carmo,0,0.01,0,1,1,0,7.15,7.15
261,Real Madrid,,Eduardo Camavinga,0,0.26,0,13,10,0,7.14,7.14
262,Barcelona,,Pedri,0,0.34,0,3,3,0,7.13,7.13
263,Borussia Dortmund,,Nico Schlotterbeck,0,0.35,1,2,5,0,7.13,7.13
264,Sporting Braga,,Rodrigo Zalazar,0,0.13,0,6,6,0,7.13,7.13
265,Atlético Madrid,,Koke,0,0.06,0,2,3,0,7.13,7.13
266,Paris Saint-Germain,,Nuno Mendes,0,0.2,0,7,4,0,7.12,7.12
267,Galatasaray,,Dries Mertens,0,0.13,0,0,4,0,7.12,7.12
268,Benfica,,Anatoliy Trubin,0,,0,0,0,0,7.12,7.12
269,Milan,,Fikayo Tomori,0,0.52,1,0,5,0,7.12,7.12
270,Manchester City,,Rico Lewis,0,0.72,2,5,5,0,7.11,7.11
271,Galatasaray,,Davinson Sánchez,0,0.38,1,2,2,0,7.10,7.10
272,Royal Antwerp FC,,Senne Lammens,0,,0,0,0,0,7.10,7.10
273,Celtic,,Stephen Welsh,0,,0,0,0,0,7.10,7.10
274,Newcastle United,,Matt Targett,0,,0,0,0,0,7.10,7.10
275,1. FC Union Berlin,,Frederik Rønnow,0,,0,0,0,0,7.10,7.10
276,Milan,,Luka Jović,0,0.56,0,0,5,0,7.10,7.10
277,Real Sociedad,,Igor Zubeldia,0,0.29,0,1,4,0,7.09,7.09
278,Newcastle United,,Bruno Guimarães,0,0.27,1,6,3,0,7.08,7.08
279,Newcastle United,,Kieran Trippier,0,0.12,0,3,3,0,7.08,7.08
280,RC Lens,,Brice Samba,0,,0,0,0,0,7.08,7.08
281,Sporting Braga,,Matheus,0,,0,0,0,0,7.08,7.08
282,Real Madrid,,Antonio Rüdiger,0,0.74,1,1,6,0,7.08,7.08
283,Real Sociedad,,Hamari Traoré,0,0.07,0,6,3,0,7.07,7.07
284,FC Bayern München,,Aleksandar Pavlović,0,,0,2,0,0,7.07,7.07
285,Benfica,,Alexander Bah,0,,0,2,0,0,7.07,7.07
286,Manchester City,,Sergio Gómez,0,0.23,0,1,4,0,7.07,7.07
287,Lazio,,Mattia Zaccagni,0,0.23,0,8,7,0,7.07,7.07
288,Manchester City,,Kyle Walker,0,0.2,0,1,2,0,7.07,7.07
289,Newcastle United,,Valentino Livramento,0,0.03,0,2,1,0,7.07,7.07
290,Real Sociedad,,Álex Remiro,0,,0,0,0,0,7.06,7.06
291,Sporting Braga,,João Moutinho,0,0.11,0,7,2,0,7.06,7.06
292,Inter,,Benjamin Pavard,0,0.01,0,1,1,0,7.06,7.06
293,Paris Saint-Germain,,Marquinhos,0,0.44,1,1,3,0,7.05,7.05
294,FC Bayern München,,Matthijs de Ligt,0,0.16,0,0,5,0,7.05,7.05
295,Real Sociedad,,Aihen Muñoz,0,0.09,0,3,4,0,7.05,7.05
296,Newcastle United,,Jacob Murphy,0,0.07,0,0,2,0,7.05,7.05
297,Sevilla,,Fernando,0,,0,3,0,0,7.05,7.05
298,Lazio,,Mario Gila Fuentes,0,0.14,0,1,3,0,7.05,7.05
299,FC København,,Denis Vavro,0,0.13,0,0,7,0,7.05,7.05
300,FC København,,Kevin Diks,0,0.04,0,1,2,0,7.05,7.05
301,Atlético Madrid,,Nahuel Molina,0,0.09,0,1,4,0,7.04,7.04
302,Lazio,,Gustav Isaksen,0,0.74,1,8,8,0,7.04,7.04
303,FC Porto,,Wendell,0,0.15,0,5,3,0,7.04,7.04
304,Barcelona,,Marc-André ter Stegen,0,,0,1,0,0,7.04,7.04
305,FC København,,Kamil Grabara,0,,0,0,0,0,7.04,7.04
306,Benfica,,Tomás Araújo,0,,0,3,0,0,7.03,7.03
307,Inter,,Stefan de Vrij,0,,0,1,0,0,7.03,7.03
308,Paris Saint-Germain,,Gianluigi Donnarumma,0,,0,0,0,0,7.03,7.03
309,FC København,,Rasmus Falk Jensen,0,0.08,0,3,2,0,7.03,7.03
310,Manchester City,,Nathan Aké,0,0.94,1,1,4,0,7.03,7.03
311,Real Madrid,,Kepa Arrizabalaga,0,,0,0,0,0,7.03,7.03
312,Real Sociedad,,Martín Zubimendi,0,0.63,1,5,7,0,7.03,7.03
313,Royal Antwerp FC,,Chidera Ejuke,0,0.24,0,18,3,0,7.03,7.03
314,FC Bayern München,,Manuel Neuer,0,,0,1,0,0,7.02,7.02
315,Sporting Braga,,Simon Banza,0,1.1,1,5,14,0,7.02,7.02
316,Celtic,,Joe Hart,0,,0,0,0,0,7.02,7.02
317,FC Bayern München,,Raphaël Guerreiro,0,0.41,0,1,6,0,7.00,7.00
318,PSV Eindhoven,,Malik Tillman,0,0.42,1,6,3,0,7.00,7.00
319,Young Boys,,Joël Monteiro,0,0.34,1,7,4,0,7.00,7.00
320,FC Bayern München,,Noussair Mazraoui,0,0.13,0,6,5,0,7.00,7.00
321,1. FC Union Berlin,,Jérôme Roussillon,0,0.06,0,3,2,0,7.00,7.00
322,Arsenal,,Aaron Ramsdale,0,,0,0,0,0,7.00,7.00
323,Newcastle United,,Sven Botman,0,,0,0,0,0,7.00,7.00
324,Barcelona,,Iñaki Peña,0,,0,0,0,0,7.00,7.00
325,RB Leipzig,,Christopher Lenz,0,,0,2,0,0,7.00,7.00
326,Paris Saint-Germain,,Lucas Beraldo,0,,0,2,0,0,7.00,7.00
327,Arsenal,,Gabriel Magalhães,0,0.43,0,0,5,0,7.00,7.00
328,Lazio,,Patric,0,0.04,0,1,1,0,7.00,7.00
